id,question,options,correctAnswer,explanation
1,下列哪些不属于民用航空器？ {{c1::A}},警用直升机||热气球||滑翔伞,1,《中华人民共和国民用航空法》第五条规定，民用航空器，是指除用于执行军事、海关、警察飞行任务外的航空器。
2,在中国注册的航空器国籍标志是 {{c1::B}},C||B||Z,2,《民用航空器国籍登记规定》第二十条：中华人民共和国民用航空器的国籍标志为罗马体大写字母Ｂ。
3,未注销外国国籍的民用航空器不得在中华人民共和国申请 {{c1::A}},国籍登记证书||适航证书||经营许可证,1,《中华人民共和国民用航空法》第九条：民用航空器不得具有双重国籍，未注销外国国籍的民用航空器不得在中华人民共和国申请国籍登记 。
4,关于“飞行管理”不正确的是 {{c1::A}},在一个划定的管制空域内，可由两个空中交通管制单位负责空中交通管制||通常情况下，民用航空器不得飞入禁区和限制区||民用航空器未经批准不得飞出中华人民共和国领空,1,《中华人民共和国民用航空法》第七十三条：在一个划定的管制空域内，由一个空中交通管制单位负责该空域内的航空器的空中交通管制。
5,私用飞机驾驶员能否驾驶飞机飞越北京市区上空？ {{c1::C}},不能||随时都可以||经批准后可以,3,"民用航空器不得飞越城市上空；但是，有下列情形之一的除外：
（一）起飞、降落或者指定的航路所必需的；
（二）飞行高度足以使该航空器在发生紧急情况时离开城市上空，而不致危及地面上的人员、
财产安全的；
（三）按照国家规定的程序获得批准的。"
6,某广告公司能否雇用一个飞行员在城市上空抛撒传单 {{c1::B}},可以，需经过运营人同意||不可以||可以雇用持有商照的飞行员,2,"飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外： 
（一）飞行安全所必需的；
（二） 执行救助任务或者符合社会公共利益的其他飞行任务所必需的。"
7,能否从飞机上投放广告传单？ {{c1::A}},不可以||可以适度投放||必要时可以,1,"飞行中，民用航空器不得投掷物品；但是，有下列情形之一的除外：
（一）飞行安全所必需的；
（二） 执行救助任务或者符合社会公共利益的其他飞行任务所必需的。"
8,空中交通管制单位提供告警服务，旨在（） {{c1::C}},防止民用航空器同航空器、民用航空器同障碍物体相撞||提供有助于安全和有效地实施飞行的情报和建议||当民用航空器需要搜寻援救时，通知有关部门，并根据要求协助该有关部门进行搜寻援救,3,"空中交通管制单位提供的服务类型及目的：
空中交通管制单位应当为飞行中的民用航空器提供空中交通服务，包括空中交通管制服务、飞行情报服务和告警服务。
提供空中交通管制服务，旨在防止民用航空器同航空器、民用航空器同障碍物体相撞，维持并加速空中交通的有秩序的活动。
提供飞行情报服务，旨在提供有助于安全和有效地实施飞行的情报和建议。
提供告警服务，旨在当民用航空器需要搜寻援救时，通知有关部门，并根据要求协助该有关部门进行搜寻援救。"
9,在航路上有影响飞行安全的（  ）应设置飞行障碍灯 {{c1::B}},山峰||人工障碍物||森林,2,《中华人民共和国飞行基本规则》第二十四条：在机场及其按照国家规定划定的净空保护区域以外，对可能影响飞行安全的高大建筑物或者设施，应当按照国家有关规定设置飞行障碍灯和标志，并使其保持正常状态。
10,从事飞行的民用航空器应当携带的文件有 {{c1::A}},民用航空器国籍登记证书和适航证书||机组人员的相应执照和飞行经历记录本||民用航空器航行记录簿和机场使用许可证,1,"《中华人民共和国民用航空法》第九十条规定：从事飞行的民用航空器，应当携带下列文件： 
（一）民用航空器国籍登记证书； 
（二）民用航空器适航证书； 
（三）机组人员相应的执照； 
（四）民用航空器航行记录簿； 
（五）装有无线电设备的民用航空器，其无线电台执照； 
（六）载有旅客的民用航空器，其所载旅客姓名及其出发地点和目的地点的清单； 
（七）载有货物的民用航空器，其所载货物的舱单和明细的申报单； 
（八）根据飞行任务应当携带的其他文件。 
民用航空器未按规定携带前款所列文件的，国务院民用航空主管部门或者其授权的地区民用航空管理机构可以禁止该民用航空器起飞。"
11,通用航空是指除（  ）之外的航空活动。①军事②警务③海关缉私飞行④公共航空运输飞行 {{c1::B}},②③④||①②③④||①②③,2,通用航空，是指除军事、警务、海关缉私飞行和公共航空运输飞行以外的航空活动，包括从事工业、农业、林业、渔业、矿业、建筑业的作业飞行和医疗卫生、抢险救灾、气象探测、海洋监测、科学实验、遥感测绘、教育训练、文化体育、旅游观光等方面的飞行活动。
12,民用航空器在海上遇到紧急情况时，除向空中交通管制单位报告，提出援救请求外，还应当向（  ）发送信号。①船舶②国家海上搜寻援救组织③附近航空器 {{c1::B}},①||①②||①②③,2,《中华人民共和国民用航空法》第一百五十一条：民用航空器遇到紧急情况时，应当发送信号，并向空中交通管制单位报告，提出援救请求；空中交通管制单位应当立即通知搜寻援救协调中心。民用航空器在海上遇到紧急情况时，还应当向船舶和国家海上搜寻援救组织发送信号。
13,（我国）关于搜寻援救民用航空器的责任单位正确的是 {{c1::B}},民航总局负责全国范围||省级人民政府负责本地区范围||国家海上援救组织负责全国范围,2,"《中华人民共和国搜寻援救民用航空器规定》第四条：
搜寻援救民用航空器按照下列规定分工负责：
（一）中国民用航空局（以下简称民航局）负责统一指导全国范围的搜寻援救民用航空器的工作；
（二）省、自治区、直辖市人民政府负责本行政区域内陆地搜寻援救民用航空器的工作，民用航空地区管理局（以下简称地区管理局）予以协助；
（三）国家海上搜寻援救组织负责海上搜寻援救民用航空器工作，有关部门予以配合。"
14,地面第三人损害赔偿中，受害人在下列哪些情况中受到损害有权获得赔偿？ {{c1::A}},从飞行中的民用航空器上落下的人或者物，造成地面上的财产损害的||所受损害是由造成损害的事故引发的间接后果||所受损害是在民用航空器依照国家有关的空中交通规则在空中通过导致,1,《中华人民共和国民用航空法》第一百五十七条规定：因飞行中的民用航空器或者从飞行中的民用航空器上落下的人或者物，造成地面（包括水面，下同）上的人身伤亡或者财产损害的，受害人有权获得赔偿；但是，所受损害并非造成损害的事故的直接后果，或者所受损害仅是民用航空器依照国家有关的空中交通规则在空中通过造成的，受害人无权要求赔偿。
15,未经对民用航空器有航行控制权的人同意而使用民用航空器，对地面第三人造成损害的，有航行控制权的人承担的责任是 {{c1::A}},除证明本人已经适当注意防止此种使用外，应当与该非法使用人承担连带责任||无需承担责任||承担主要责任,1,《中华人民共和国民用航空法》第一百五十九条：未经对民用航空器有航行控制权的人同意而使用民用航空器，对地面第三人造成损害的，有航行控制权的人除证明本人已经适当注意防止此种使用外，应当与该非法使用人承担连带责任。
16,民用航空器的机长或者机组不携带执照和体格检查合格证书执行飞行任务时，民航局可以处以什么样的处罚？ {{c1::C}},警告||吊扣执照一个月至六个月的处罚||警告或吊扣执照一个月至六个月的处罚,3,"《中华人民共和国民用航空法》第二百零八条：民用航空器的机长或者机组其他人员有下列行为之一的，由国务院民用航空主管部门给予警告或者吊扣执照一个月至六个月的处罚；有第（二）项或者第（三）项所列行为的，可以给予吊销执照的处罚：
（一）在执行飞行任务时，不按照本法第四十一条的规定携带执照和体格检查合格证书的；
（二）民用航空器遇险时，违反本法第四十八条的规定离开民用航空器的；
（三）违反本法第七十七条第二款的规定执行飞行任务的。"
