Index	Question	Options	Answer	Answer Explanation
1	视觉空间定向的局限性主要体现在缺乏目视参考时 {{c1::A}}	人对于速度的感知，以及对于物体大小和远近的感知能力都会受限||人体对三维空间飞行中的作用力环境的感知能力较差||飞行员往往会把同样距离的物体看成较近的物体	1	缺乏目视参照物时，人对于速度的感知，以及对于物体大小和远近的感知能力都会受限。飞行员往往会把同样大小的物体看成较小的物体，把同样距离的物体看成较远的物体。
2	前庭觉空间定向的局限性主要体现在缺乏目视参考的情况下 {{c1::B}}	飞行员往往会把同样距离的物体看成较近的物体||人体对三维空间飞行中的作用力环境的感知能力较差||人对于速度的感知，以及对于物体大小和远近的感知能力都会受限	2	在缺乏目视参考的情况下，人体对三维空间飞行中的作用力环境的感知能力较差，如果仅凭自身的感觉来判断飞行姿态，人容易出现前庭错觉，这时应该相信仪表的姿态指示。
3	本体觉空间定向的局限性主要体现在 {{c1::C}}	人体对三维空间飞行中的作用力环境的感知能力较差||人对于速度的感知，以及对于物体大小和远近的感知能力都会受限||如果加速度的力对人体的影响超过了重力，有可能会发生许多错觉	3	当其与视觉和前庭信号相结合时，本体系统是非常可靠的。但是在特定的飞行环境中，各种力都作用在人体上，如果加速度的力对人体的影响超过了重力，许多错觉就有可能发生。
4	耳石器能够感受 {{c1::C}}	角加速度和线加速度||角加速度和重力加速度||线加速度和重力加速度	3	前庭装置由三个半规管和一个耳石器所组成，是感受速度变化和姿态变化的重要器官。耳石器可以感觉重力加速度和线加速度。
5	前庭器官能够感知 {{c1::B}}	低于阈限的加速度||各个分力的合力||作用力的分力	2	内耳里的前庭器官能感知身体的角加速度，和线加速度以及重力。但是前庭器官的感受性有一定的阈限范围，加速度太小或太大时，人都无法正确感知，而且只能觉察加速度的合力，不能辨别构成合力的分力来源。
6	以下哪一种陈述是正确的？ {{c1::B}}	在夜间或边界气象条件下，由于视觉线索很少，飞行员可依靠前庭觉和本体觉来进行空间定向||在夜间或边界气象条件下，飞行员应根据仪表信息来进行空间定向||在夜间或边界气象条件下，由于视觉线索很少，飞行员应根据管制员的指示来进行空间定向	2	在夜间或边界气象条件下，飞行员无法仅凭自身的感觉来判断飞机的速度、航向、高度以及飞机状态等重要飞行参数，不能进行准确的空间定向。此时，飞行员必须使用仪表进行空间定向。
7	容易产生虚假天地线错觉的情景是 {{c1::B}}	飞行员身体状态欠佳时||自然天地线模糊不清或不明显时||机械故障使飞行员情绪过度紧张时	2	虚假天地线错觉是指自然天地线模糊不清、或不明显时，飞行员将虚假的天地线当作自然天地线，并按虚假天地线去定位、操纵飞机的现象。
8	虚假天地线错觉的主要表现是 {{c1::A}}	在夜间把城市灯光或海岸当作真实的天地线使用||情绪紧张，思维不清以及迷惑||错误使用下降速度	1	虚假天地线错觉常发生的情境是：在起飞或着陆过程中，将城市或海岸排成一行的灯光误认为是自然的天地线，并按此来操纵飞机，这种情况可能使飞机进入危险姿态。
9	在云中飞行时，若光线从机头方向投射过来，容易产生 {{c1::B}}	机头下俯的感觉||机头上仰的感觉||飞机带坡度飞行	2	在云中飞行时，若光线从机头方向透射过来，可产生上仰错觉。若光线从飞机尾部方向透射过来，则易产生下滑错觉。原因是飞行员将明亮处视为天、阴暗处视为地。
10	在云中飞行时，若光线从飞机尾部方向投射过来，容易产生 {{c1::A}}	飞机下滑的感觉||飞机上升的感觉||极度的恐惧感	1	在云中飞行时，若光线从机头方向透射过来，可产生上仰错觉。若光线从飞机尾部方向透射过来，则易产生下滑错觉。原因是飞行员将明亮处视为天、阴暗处视为地。
11	在比常规偏窄的跑道进近时，有可能出现的错觉是 {{c1::C}}	感觉自己的进场高度偏低||感觉飞机在带坡度飞行||感觉自己的进场高度偏高	3	在比常规偏窄的跑道进近时，飞行员可能产生视性距离错觉，感觉进场高度偏高，若按照这种错误的感觉操纵飞机，将会导致进场偏低。
12	在比常规偏宽的跑道进近时，有可能出现的错觉是 {{c1::B}}	感觉自己的进场高度偏高||感觉自己的进场高度偏低||感觉飞机在带坡度飞行	2	在比常规偏宽的跑道进近时，飞行员可能产生视性距离错觉，感觉进场高度偏低，若按照这种错误的感觉操纵飞机，将会导致进场偏高。
13	在进近阶段穿雾时，可能使飞行员产生 {{c1::B}}	倾斜错觉||机头上仰的错觉||飞机下滑的错觉	2	在进近阶段穿雾时，由于视性距离错觉，飞行员感觉机头上仰，若按照这种错误的感觉操纵飞机，将会形成陡峭的进近。
14	风挡玻璃上有雨，驾驶员看到的跑道比实际距离 {{c1::A}}	远||近||相同	1	风挡玻璃上有雨，使飞行员产生进场高度偏高的错觉，飞行员看到的跑道比实际距离远。
15	容易发生倾斜错觉的情形是 {{c1::A}}	飞机滚转角速度低于前庭器官的知觉阈限||飞行员头部与飞机在不同的平面上运动，即绕不同的轴转动||飞机以缓慢速度由平飞进入转弯时	1	倾斜错觉可能出现的情形是飞机滚转角速度低于前庭器官的知觉阈限；协调转弯；由阈上刺激使飞机进入滚转状态，而后又由阈下刺激恢复到平飞状态。
16	飞行员长时间以固定速率进行协调转弯，可能产生 {{c1::B}}	科里奥利错觉||躯体旋动错觉||躯体重力错觉	2	躯体旋动错觉可能出现的情形是飞行员长时间以固定速率进行协调转弯/恢复平飞后。
17	躯体重力错觉产生的情景常见于 {{c1::C}}	1000 米以上高空飞行时||飞行员状态不好时||飞机很快地加速或减速时	3	躯体重力错觉是飞机在作直线加、减速度或径向加速度运动时，产生的惯性力作用于前庭耳石器和本体感觉器所引起的错误知觉。飞机很快地加速或减速时，容易产生躯体重力错觉。
18	飞机从爬升改到平直飞行时，可能产生 {{c1::A}}	倒翻错觉||倾斜错觉||躯体旋动错觉	1	倒翻错觉可能出现的情形是从爬升改到平直飞行。
19	预防和克服空间定向障碍最根本的措施是 {{c1::B}}	避免大坡度转弯和粗猛的操纵动作||坚信飞行仪表的显示信息||尽可能最大限度地减少头部和眼睛的活动范围	2	克服空间定向障碍最重要的方法是飞行员能够熟练使用飞行仪表并且相信仪表提供的信息。依靠仪表来进行飞行，克服错觉所造成的影响。
20	对座舱内的硬件资源、软件资源、环境资源以及人力资源的管理过程，可定义为 {{c1::A}}	座舱资源管理||飞行程序管理||飞行目标管理	1	座舱资源管理是指飞行员在飞行中对座舱内一切资源的管理（包括硬件、软件、环境以及人等资源）过程。
21	飞行前良好的心理准备的含义是指 {{c1::A}}	高质量的常规飞行前准备、飞行前预想、对情绪、飞行动机及自信心进行适当调整||良好的睡眠、常规飞行前准备、热身运动||常规飞行前准备、复习有关知识、与塔台建立联系	1	
22	驾驶舱资源管理技能的核心问题是 {{c1::A}}	驾驶舱交流技能||驾驶舱的注意力分配||驾驶舱领导艺术	1	驾驶舱交流是驾驶舱资源管理的一个重要组成部分，机组通过机组成员之间的交流来实现对驾驶舱资源的管理，没有交流便谈不上驾驶舱管理。
23	以下哪些途径有助于形成和完善驾驶舱资源管理技能 {{c1::B}}	课堂教学||课堂教学、角色扮演、模拟机训练和实机训练以及航线实践||实机训练与航线实践	2	实现CRM（驾驶舱资源管理）训练的途径或形式应该包括课堂教学，CBT教学，角色扮演，模拟机训练，初教机训练，高教机训练以及航线飞行等相互关联的关节。
24	驾驶舱资源管理训练的对象是 {{c1::A}}	所有飞行员||商用飞行员||年轻飞行员	1	在机组资源管理训练过程中应注意，所有飞行员都应该接受机组资源管理训练。
25	驾驶舱资源管理技能形成和发展的基础是 {{c1::C}}	飞行技术||飞行技术和航空知识||飞行技术、航空知识以及飞行训练所获得的经验	3	在机组资源管理训练过程中应注意，航空知识和飞行训练与经验是机组资源管理技能形成的前提条件。
26	以下关于驾驶舱资源管理技能形成过程的描述哪一项是正确的 {{c1::B}}	通过飞行员的努力之后可以很快形成||和所有的行为转化一样需要很长的周期||不需要特殊训练就可自然形成	2	在机组资源管理训练过程中应注意，机组资源管理技能和所有的行为转化一样需要很长的周期。
27	驾驶舱文化差异含义是指 {{c1::A}}	语言、民族习俗、所受教育程度以及态度和价值观等方面的差异||语言上的差异||所受教育程度上的差异	1	在机组资源管理训练过程中应注意，针对驾驶舱文化差异进行训练，驾驶舱文化差异是指：语言，民族习俗，所受教育程度以及态度和价值观等方面的差异。
28	进近着陆过程中，若遇起落架故障，飞行员应中断进近并复飞，这是对 {{c1::B}}	人进行了合理的管理||时间进行了合理管理||飞机进行了合理的管理	2	在进近着陆过程中，若遇上起落架故障，飞行员应考虑到要处理这一故障需要时间，而时间紧迫会使自己处于压力或应激之中。因此，在这种情况下应中断进场并复飞，加入等待航线。这样，飞行员就可获得较长时间去处理故障，时间压力也会随之减轻。
29	飞行员能力储备的含义是指 {{c1::A}}	仅用50％的工作能力便能够完成正常操作，将其余50％的能力储备起来，用以应付意外事件和应急情况||仅用50％的工作能力便能够完成正常操作，而其余50％的能力储备起来不用||仅用50％的工作能力来完成正常操作，将其余50％的精力用来与机组成员或ATC聊天	1	飞行员能力储备是指飞行员仅用50%的工作能力便能够操纵飞机，将其余50%的能力储备起来，用以应付意外事件和应急情况。
30	在飞行的各个阶段中，飞行员的能力储备在以下哪个阶段最低 {{c1::C}}	起飞阶段||巡航阶段||进近着陆阶段	3	在进近着陆阶段飞行员的工作负荷最高，所以能力储备最低。
31	现代驾驶舱显示器的标准化设计通常都遵循 {{c1::B}}	“基本B分布”原则||“基本T分布”原则||“基本P分布”原则	2	著名的航空心理学家费茨在经过大量研究后提出驾驶舱仪表设计的“基本T分布”原则，使驾驶舱仪表排列的标准化成为现实。
32	以下哪一种因素将决定驾驶舱机组群体的处境意识 {{c1::C}}	每一个机组成员的处境意识的高低||副驾驶或者空中机械师处境意识的高低||处于领导地位飞行员的处境意识的高低	3	机组群体处境意识是整个机组群体对飞行的认识，它不是个体处境意识的简单相加，主要取决于责任机长的处境意识。
