Index	Question	Options	Answer	Answer Explanation
1	有关雷暴发展阶段的正确说法是 {{c1::B}}	雷暴的起始阶段是一个正在发展的降水云团||地面开始下雨表示雷暴已进入成熟阶段||地面开始下雨表示雷暴已进入消散阶段	2	成熟阶段是雷暴单体发展最强盛的阶段，降水产生并发展表示雷暴已经进入成熟阶段。
2	地形雷暴多出现在 {{c1::A}}	山区||平原||丘陵	1	地形雷暴是暖湿不稳定空气在山脉迎风坡被迫抬升而形成的雷暴。典型的地形雷暴常很快形成，雷暴云沿山脉走向成行出现而不大移动，且面积较大，云中气流剧烈，降水强度大，有时还会降冰雹；云底高度较低，常能遮住整个山头，悬崖和峭壁可能被掩盖起来。所以山区飞行一般不宜从云下通过雷暴区。
3	参考图IR5-1，如果进入下击暴流，最强烈的下降气流将出现在航空器的哪个位置？ {{c1::B}}	4，5||4，3||3，2	2	图中3、4位置处于下击暴流中心，下降气流最为强烈。
4	参考图IR5-1，驾驶员的操作未发生变化，在穿过下击暴流时，航空器在哪个位置时的飞行性能将变好？ {{c1::C}}	3||2||1	3	看图可知，飞机从位置1开始靠近下击暴流，此时逆风将增强且飞行性能将变好。
5	参考图IR5-1，位置3上的航空器将受到下击暴流的什么影响？ {{c1::C}}	逆风减弱||顺风增强||强的下冲气流	3	看图可知，飞机在位置3上处于下击暴流中心，下降气流最为强烈。
6	参考图IR5-1，下击暴流将对位置4上的航空器产生什么影响？ {{c1::B}}	飞行性能随顺风和上升气流而增强||飞行性能随顺风和下降气流而降低||飞行性能随逆风和下降气流而降低	2	看图可知，飞机在位置4时，风切变使风向由逆风变为顺风，且下降气流强烈，导致飞机的飞行性能降低。
7	参考图IR5-1，位置5上的航空器将受到下击暴流的什么影响？ {{c1::A}}	强顺风||强上升气流||旋转气流	1	看图可知，由于下击暴流的影响，飞机在位置5上将会遭遇强顺风。
8	下列影响飞机颠簸强度的因子是 {{c1::C}}	大气温度||大气密度||机翼载荷	3	影响飞机颠簸强度的因子包括乱流强度、飞行速度以及飞机的翼载荷。乱流强度取决于垂直阵风区风速和空气密度，垂直阵风的速度越大，空气密度越大，它们所引起的飞机升力的变化越大，颠簸也越强；反之，它们所引起的飞机升力的变化越小，颠簸越弱。在低速飞行条件下，飞行速度越大，飞机因乱流产生的振动的振幅和频率都越大，颠簸就越强。翼载荷大的飞机单位机翼面积上承受的飞机重量大，受到垂直阵风冲击后产生的加速度小，所以颠簸弱，反之，翼载荷小的飞机，颠簸就越强。
9	气温越高，空气密度 {{c1::A}}	越小||越大||不变	1	空气密度与气压成正比，空气密度与气温成反比，水汽含量越大空气密度越小。
10	当低速飞机穿过温度为-5℃的云中时，常形成 {{c1::B}}	雾凇||毛冰||霜	2	毛冰多形成在温度为-5℃~-15℃的云中；雾凇多形成在温度为-20℃左右的云中；霜是飞机从寒冷的高空迅速下降到温暖潮湿但无云的气层时形成的。
11	飞机低速飞行时，下列哪种情况会导致积冰强度增强？ {{c1::C}}	云中有很多冰晶||云上温度大于0℃||加快飞行速度	3	其它条件相同的情况下，低速飞行时（600km/h以下），速度越大，单位时间内碰到机体上的过冷水滴越多，积冰强度就越大。
12	风切变的重要特征是 {{c1::C}}	主要与由天气系统产生的横向涡旋相联系||常常只存在于雷暴附近，但可在强逆温层附近发现||在大气中任何地方，伴随风向转变和风速梯度而产生	3	风切变是指空间两点之间风的矢量差，即在同一高度或不同高度短距离内风向和（或）风速的变化。在空间任何高度上都可能产生风切变。
13	关于风切变出现的地方，下述说法正确的是 {{c1::C}}	仅在雷暴中出现||在气压和温度急剧下降的地方出现||在大气中任何高度上存在风向或风速变化的地方	3	风切变是指空间两点之间风的矢量差，即在同一高度或不同高度短距离内风向和（或）风速的变化。在空间任何高度上都可能产生风切变。
14	飞机在飞行中升力突然减小，它碰到的可能是 {{c1::B}}	侧风||顺风切变||逆风切变	2	顺风切变是水平风的变量对飞机来说是顺风。顺风切变使飞机空速减小，升力下降，飞机下沉，危害较大。
15	如果在近地面有强的逆温层存在，我们将会碰到 {{c1::B}}	强烈而稳定的下沉气流和上层大气温度增加||可能使空速突然改变的风切变||上层大气温度减小，风速稳定	2	逆温层阻挡了风速向下的动量传递，使地面风很弱，且风向多变，这样就在地面附近与上层气流之间形成了较大的风切变。
16	能导致风向突然改变的低空风切变可能出现在 {{c1::C}}	在地面风速较小且风向不定时||当地面风速在15KT以上并且风向风速不随高度改变时||有高度低的逆温层而逆温层上有强风时	3	逆温层阻挡了风速向下的动量传递，使地面风很弱，而且风向多变，这样就在地面附近与上层气流之间形成了较大的风切变。
17	由地表辐射冷却而形成的雾叫（） {{c1::A}}	辐射雾||平流雾||轻雾	1	由地表辐射冷却而形成的雾叫辐射雾。
18	下列何种地区最容易出现山地背风波？ {{c1::C}}	山谷风盛行的地区||孤立山峰的后面||高大山脉的背风面上空	3	形成背风波的基本条件有三个：(1)气流越过是长山脊或山岳地带；(2)风向与山脊交角小于30 度；风速在山脊高度上一般不能小于10m/s，且从山脊到对流层顶，风速随高度的增加或减小保持不变；(3)在山的迎风面低层气层显著稳定，上层气流稳定度减小。
19	当风垂直于山谷吹时，若在山谷中飞行，飞机应该 {{c1::C}}	沿山谷中间飞||离开迎风坡而靠近背风坡||离开背风坡而靠近迎风坡	3	当风垂直于山谷吹时，可能在背风坡形成山地背风波，在山谷飞行时，应离开背风坡而靠近迎风坡，避开背风波造成的乱流颠簸。
20	飞机在山地背风波下降气流中飞行，气压式高度表指示 {{c1::A}}	偏高||偏低||不变	1	"山地波对飞行的影响
1. 山地波中的升降气流会使飞机高度明显改变。
2. 背风波中的下降气流使气压式高度表读数偏高。
3. 山地波中常有乱流造成飞机颠簸。"
21	下列关于气旋说法正确的是 {{c1::A}}	北半球，气旋作逆时针旋转||南半球，气旋作逆时针旋转||北半球，气旋作顺时针旋转	1	北半球，气旋范围内的空气作逆时针旋转，在南半球其旋转方向相反，在气压场上，气旋表现为低压。
22	飞机自西向东飞过东北涡，会经历什么样的风？ {{c1::A}}	先左侧风，后右侧风||先右侧风，后左侧风||无侧风	1	东北涡是高空低涡，属于气旋，在气压场上，气旋表现为低压，在北半球低压气旋范围内的空气作逆时针旋转，飞机自西向东进入气旋到气旋中心风从左边吹来飞机向右偏，从气旋中心到离开气旋风从右边吹来飞机向左偏。
23	在北半球，高压区内空气的运动情况是 {{c1::B}}	向内、向上和沿逆时针方向||向外、向下和沿顺时针方向||向外、向上和沿逆时针方向	2	风从高压吹向低压，在北半球，受地转偏向力的影响向右偏转，高压区空气为下沉气流，所以形成向外、向下和沿顺时针方向的空气环流。
24	切变线附近的天气情况是 {{c1::A}}	辐合向上的气流，形成阴雨天气||辐合向下的气流，天气晴朗||辐合向下的气流，形成阴雨天气	1	当切变线形成后，由于两侧风向、风速的不一致，使切变线区域内形成辐合带，使大量气流上升，常出现阴雨天气。切变线带来的云雨和不稳定天气，对飞行有很大的影响。
25	台风眼的天气是 {{c1::B}}	大风形成的云墙||云淡风轻||阵性降水，大风	2	在台风中心，极大的气压梯度力与离心力之间达到了新的平衡。在低压中心，对流层上部的空气开始下沉，由于绝热增温，台风“眼”中无云且空气温度较高。
26	“NSC”表示 {{c1::A}}	无重要的云||碧空||预计重要天气现象结束	1	“NSC”表示无重要的云。“SKC”表示碧空。“NSW”表示预计重要天气现象结束。
27	参考图IR5-6重要天气图3(SIGMET3)，有效时间为 {{c1::A}}	从12日世界时08:00时到12日世界时20:00时||从世界时12:08时到世界时12:20时||从12日世界时08:00时到12日世界时12:20时	1	有效时间组用世界时表明。“VALID 120800/122000”表示有效时间12号08时到20时。
