Index	Question	Options	Answer	Answer Explanation
1	驾驶员体检合格证过了有效期后是否可以继续飞行？ {{c1::A}}	不能飞行||能飞行||局方许可以后可以飞行	1	依据CCAR61部第 61.9条规定，持有按本规则颁发或认可的执照担任航空器飞行机组必需成员的驾驶员，应当持有按中国民用航空规章《民用航空人员体检合格证管理规则》（CCAR-67FS）颁发或认可的有效体检合格证，并且在行使驾驶员执照上的权利时随身携带该合格证；
2	在仪表飞行规则条件下或在低于目视飞行规则规定的最低标准的气象条件下担任航空器机长，应当？ {{c1::B}}	持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用）||持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用）||对于滑翔机机长，持有私用或商用驾驶员执照	2	"在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任航空器的机长，应当符合下列要求之一：
1.持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用） 和仪表等级；
2.持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用） ；
3.对于滑翔机机长，持有附带滑翔机类别等级和飞机仪表等级的驾驶员执照。"
3	在仪表飞行规则条件下担任航空器机长，至少应当持有？ {{c1::A}}	私用驾驶员执照||商用驾驶员执照||学生驾驶员执照	1	"在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任航空器的机长，应当符合下列要求之一：
1.持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用） 和仪表等级；
2.持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用） ；
3.对于滑翔机机长，持有附带滑翔机类别等级和飞机仪表等级的驾驶员执照。"
4	私用驾驶员执照申请人需年满（）周岁 {{c1::B}}	16||17||18	2	根据CCAR61.123条规定：私用驾驶员执照申请人需年满17周岁.
5	商用驾驶员执照申请人需年满（  ）周岁。 {{c1::B}}	17||18||19	2	CCAR-61部第61.153条 资格要求 符合下列条件的申请人，局方可以为其颁发商用驾驶员执照： (a) 年满18周岁
6	在执照丢失期间，飞行员应当 {{c1::A}}	申请临时执照，其有效期为120天||在重新补发正式执照之前不能飞行||重新参加考试获取执照	1	"依据CCAR61部第61.19条规定，局方可以为下列申请人颁发有效期不超过 120 天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
7	依据CCAR61部，因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间，可以向局方申请有效期不超过（  ）天的驾驶员临时执照。 {{c1::C}}	60||90||120	3	"CCAR-61部第61.19条 临时执照：
(a) 局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：(1) 已经审定合格的执照申请人，在等待颁发执照期间；(2) 在执照上更改姓名的申请人，在等待更改执照期间；(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
8	临时执照和正式执照在行使权利时有何区别？ {{c1::A}}	临时执照在有效期内具有和正式执照同等的权利和责任||临时执照在行使权利时有一定的局限性||临时执照不能行使和正式执照同等的权利	1	"局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
9	学生驾驶员执照的有效期为 {{c1::B}}	12个月||24个月||36个月	2	CCAR-61部第61.21条：执照的有效期（b）：学生驾驶员执照在颁发月份之后第24个日历月结束时有效期满。
10	飞行员在2010年获取商用驾驶员执照，那么在2014年其驾驶员执照 {{c1::B}}	过期||未过期||没有有效期限制	2	依据CCAR61.21条规定，除学生驾驶员执照外，按CCAR61部颁发的其他驾驶员执照有效期限为六年，且仅当执照持有人满足CCAR-61部和有关中国民用航空运行规章的相应训练与检查要求、并符合飞行安全记录要求时，方可行使其执照所赋予的相应权利。依据外国驾驶员执照颁发的认可证书的持有人，仅当该认可证书所依据的外国驾驶员执照和体检合格证有效时，方可行使该认可证书所赋予的权利。
