Index	Question	Options	Answer	Answer Explanation
1	制定飞行计划时，选择备降机场之前应当 {{c1::A}}	分析天气资料||计算燃油||查找航路资料	1	"飞行计划的一般制定流程：
1、航空器适航限制的分析2、航行资料分析3、天气资料分析4、备降场的选择5、航行要素的分析6、航路资料查找7、航路资料总结8、燃油的计算9、飞行计划的制定10、ICAO飞行计划"
2	飞行计划的一般制定流程正确的是 {{c1::A}}	航行资料分析、天气资料分析、备降场选择、航行要素分析、航路资料查找||天气资料分析、航行资料分析、备降场选择、燃油计算||备降场选择、天气资料分析、燃油计算、航行要素分析、航路资料总结	1	"飞行计划的一般制定流程：
1、航空器适航限制的分析
2、航行资料分析
3、天气资料分析
4、备降场的选择
5、航行要素的分析
6、航路资料查找
7、航路资料总结
8、燃油的计算
9、飞行计划的制定
10、ICAO飞行计划"
3	制定飞行计划的第一步是 {{c1::A}}	航空器适航限制的分析||天气资料分析||航路资料查找	1	"飞行计划的一般制定流程：
1、航空器适航限制的分析
2、航行资料分析
3、天气资料分析
4、备降场的选择
5、航行要素的分析
6、航路资料查找
7、航路资料总结
8、燃油的计算
9、飞行计划的制定
10、ICAO飞行计划"
4	制定仪表飞行计划时，可以不选用备降机场的条件之一是 {{c1::A}}	目的地机场有标准仪表进近程序||根据气象资料飞机预计到达时刻前至少1小时云高高于机场标高600米，能见度至少5千米。||根据气象资料飞机预计到达时刻后至少1小时云高高于机场标高600米，能见度至少5千米。	1	"若对于飞机，在符合下列条件时，可以不选用备降机场;
（1）预计着陆的目的地机场具有局方公布的标准仪表进近程序；
（2）天气实况报告、预报或两者组合表明，在飞机预计到达目的地机场时刻前后至少1小时的时间段内，云高高于机场标高600米，能见度至少5千米。"
5	列入仪表飞行规则飞行计划中的备降机场应该满足的条件是 {{c1::C}}	云高高于仪表进近程序规定的最低下降高120米，能见度增加1600米||云高高于仪表进近程序规定的最低下降高60米，能见度增加800米||没有仪表进近程序则云高和能见度应保证按照目视完成备降	3	"除经局方批准外，对于列入仪表飞行规则飞行计划中的备降机场，应当有相应的天气实况报告、预报或两者组合表明，当航空器到达该机场时，该机场的天气条件等于或高于下列最低天气标准：
（1）对于具有局方公布的仪表进近程序的机场，使用下列标准：
对于旋翼机以外的航空器，在有一套进近设施与程序的机场，云高在最低下降高/度（MDH/MDA）或决断高/度（DH/DA）上增加120米，能见度增加1600米； 在有两套（含）以上精密或非精密进近设施与程序并且能提供不同跑道进近的机场，云高在最低下降高或决断高上增加60米，能见度增加800米，在两条较低标准的跑道中取较高值。
（2）对于没有公布仪表进近程序的机场，云高和能见度应当保证航空器可按照基本目视飞行规则完成从最低航路高度(MEA)开始下降、进近和着陆。"
6	仪表飞行计划中包含 {{c1::B}}	危险品安置||机长姓名||航线规划分析	2	"除经空中交通管制同意外，仪表飞行规则飞行计划应当包括下列内容：
1、该航空器国籍登记号和无线电呼号（如需要）。
2、该航空器的型号，或者如编队飞行，每架航空器的型号及编队的航空器数量。
3、起飞地点和预计起飞时间。
4、计划的航线、巡航高度(或飞行高度层)以及在该高度的航空器真空速。
5、备降机场。
6、第一个预定着陆地点和预计飞抵该点上空的时间。
7、局方和空中交通管制要求的其他任何资料。
8、装载的燃油量(以时间计)。
9、机组和搭载航空器的人数。
10、机长的姓名和地址，或者如编队飞行，编队指挥员的姓名和地址。"
7	仪表飞行规则飞行计划中不包括哪些信息？ {{c1::A}}	危险品种类及数量||机长姓名||第一个预定着陆地点	1	"依据CCAR91部第除经空中交通管制同意外，仪表飞行规则飞行计划应当包括下列内容：
1、该航空器国籍登记号和无线电呼号（如需要）。
2、该航空器的型号，或者如编队飞行，每架航空器的型号及编队的航空器数量。
3、起飞地点和预计起飞时间。
4、计划的航线、巡航高度(或飞行高度层)以及在该高度的航空器真空速。
5、备降机场。
6、第一个预定着陆地点和预计飞抵该点上空的时间。
7、局方和空中交通管制要求的其他任何资料。
8、装载的燃油量(以时间计)。
9、机组和搭载航空器的人数。
10、机长的姓名和地址，或者如编队飞行，编队指挥员的姓名和地址。"
8	具有单个精密进近程序的某机场作为备降场，预报的备降最低标准是？ {{c1::A}}	云底180米，能见度3.2公里||云底120米，能见度3.2公里||云底高240米，能见度3.2公里	1	根据CCAR-97部第六十六条规定，当适用的航路备降机场具有单个精密进近程序，其备降最低标准为云高180米，能见度3200米，即3.2公里。
9	"仪表飞行规则条件下，有备降场时飞机必须加装的燃油有
①航程燃油②备降燃油③备用燃油 {{c1::C}}"	①②||②③||①②③	3	航空器驾驶员在仪表飞行规则条件下开始飞行前，必须充分考虑风和预报的气象条件，在航空器上装载足够的燃油，这些燃油能够：1.飞到目的地机场着陆；2.从目的地机场飞到备降机场着陆；3.在完成上述飞行之后，还能以正常巡航速度飞行45分钟，并且加上附加燃油量，以便在发生意外情况时足以应付油耗的增加。
10	参考图IR3-1，编组9中“航空器架数”数据项应在什么情况下填写 {{c1::C}}	计划包括多架航空器执行同样的航线任务时||非定期的航空运输飞行或通航飞行时||多架航空器编队飞行时	3	航空器数目（多于1架）。此单项应仅用于多架航空器编队飞行中，用1-2位数字来表示航空器架数 。
11	参考图IR3-1，飞行计划编组8中填写“Y”表示 {{c1::C}}	表示整个飞行准备按照仪表飞行规则运行||表示整个飞行准备按照目视飞行规则运行||表示飞行先按照仪表飞行规则运行，后随对飞行规则的一个或多个相应修改	3	I表示整个飞行准备按照仪表飞行规则运行；V表示整个飞行准备按照目视飞行规则运行；Y表示飞行先按照仪表飞行规则运行，后随对飞行规则的一个或多个相应修改；Z表示飞行先按照目视飞行规则运行，后随对飞行规则的一个或多个相应修改
12	参考图IR3-1，飞行计划编组19中C/后应该填写 {{c1::B}}	航路代号||机长姓名||管制单位	2	编组19—补充情报；C/后随机长姓名。
