Index	Question	Options	Answer	Answer Explanation
1	航空器与管制单位进行初次联系时，应当呼叫 {{c1::A}}	管制单位的全称||管制单位地名简称||管制单位地名简称，无简称的可以呼叫全称	1	航空器和管制单位初次联系时，应呼航空器和管制单位的全称。在建立双向联系以后的各次通话中，宜简呼地名，管制单位或服务可省略。
2	北京区域管制中心的汉语简呼是 {{c1::A}}	北京区域||北京管制||北京中心	1	航空器和管制单位在建立双向联系以后的各次通话中，宜简呼地名，管制单位或服务可省略。北京区域管制中心的汉语简呼是北京区域或北京。
3	郑州机场管制的汉语简呼是 {{c1::C}}	郑州区域||郑州地面||郑州塔台	3	航空器和管制单位在建立双向联系以后的各次通话中，宜简呼地名，管制单位或服务可省略。机场管制的汉语简呼是塔台。
4	在中国注册的航空器注册号B-1234读作 {{c1::C}}	BRAVO一两三四||BRAVO幺二三四||BRAVO幺两三四	3	注册号字母和数字应按照字母和数字的标准发音逐位读出。在我国注册的航空器注册号字母前缀为“B”，读作 BRAVO。B-1234读作BRAVO幺两三四。
5	航空器的呼号CCA918A的汉语读法是 {{c1::A}}	国航九幺八ALPHA||国航九幺八AMBER||国航九一八ALPHA	1	航空公司呼号汉语发音按照中国民航规定的呼号读出。航班号的字母全部按照字母英语标准发音逐位读出，数字应按照数字的汉语、英语标准发音逐位读出。
6	机场识别代码ZBAA的汉语读法是 {{c1::C}}	ZOO BRAVO ALPHA ALPHA||ZOOM BRAVO ALPHA ALPHA||ZULU BRAVO ALPHA ALPHA	3	机场识别代码按英文字母逐位读出。
7	全向信标台SIA的汉语读法是 {{c1::A}}	西安||石各庄||南浔	1	在汉语读法中，VOR台和NDB台按照航图中的地名读出。英语读法按照字母发音读出该台识别代码。对于VOR和NDB导航台名称相同，不建在一起且距离较远时，应在台名后加NDB或VOR。石各庄的全向信标台表示为VM，南浔的全向信标台表示为SX。
8	航路点BUBDA的汉语读法是 {{c1::B}}	BRAVO UNIFORM BRAVO DELTA ALPHA||BUBDA||BRAVO UNIFORM BRAVO DELTA AMBER	2	如航路点是五个英文字母，则中英文读法相同，按照一个单词的英语发音读出，如航路点是P和数字组成，则汉语按照P加数字读出，英语按照字母和数字的发音读出。
9	航路点P23的汉语读法是 {{c1::B}}	PAPA两三||P两三||PARK两三	2	如航路点是五个英文字母，则中英文读法相同，按照一个单词的英语发音读出，如航路点是P和数字组成，则汉语按照P加数字读出，英语按照字母和数字的发音读出。
10	进场航线VYK-01A的汉语读法是 {{c1::B}}	大王庄洞幺号ALPHA||大王庄洞幺号进场||Victor Yankee Kilo 洞幺ARRIVAL	2	航路由航路代号和编码组成，分别按照数字和字母的发音读出，航路代号前有U、K、S时，分别按照“UPPER”、 “KOPTER”和“SUPERSONIC”读出，表示英文单词UPPER、HELICOPTER、SUPERSONIC。标准进离场航线汉语按导航台名称加有效代号加航路代号加进场或离场读出；英语按照字母和数字的发音，后加“ARRIVAL”、“DEPARTURE”读出。
11	空中交通管制员在与航空器驾驶员进行第二次通话时，应当首先呼叫 {{c1::B}}	管制单位呼号||航空器呼号||直接陈述通话内容	2	首次通话以后的各次通话，空中交通管制员宜采用下列通话结构：对方呼号+通话内容。
12	航空器驾驶员在与空中交通管制员进行第二次通话时，应当首先呼叫 {{c1::A}}	管制单位呼号||航空器呼号||直接陈述通话内容	1	首次通话以后的各次通话，航空器驾驶员宜采用的通话结构为：对方呼号+己方呼号+通话内容。
13	飞机在着陆时，应什么时候收听ATIS？ {{c1::C}}	进近初期||五边进近阶段||与管制单位首次联系前	3	飞行员通常在和管制员等单位建立联系前收听通播，了解相关情况以减少管制员的工作量及避免频道拥挤。
14	航路许可宜在什么时候发布给航空器驾驶员？ {{c1::A}}	开车前||起飞前||滑行后	1	航路许可宜在开车前发布给航空器驾驶员。
15	"航空器驾驶员应向空中交通管制员复诵的内容包括：①空中交通管制航路放行许可
②进入跑道的许可和指令③ATIS广播包含的过渡高度层 {{c1::C}}"	①②||②③||①②③	3	航空器驾驶员应向空中交通管制员复诵通过话音传送的ATC放行许可和指示中涉及安全的部分，应复诵下述内容：（1）空中交通管制航路放行许可；（2）在进入跑道、起飞、着陆、穿越跑道和沿正在使用跑道的反方向滑行的许可和指令；（3）正在使用的跑道、高度表拨正值、二次监视雷达（SSR）编码、高度指令、航向与速度指令和空中交通管制员发布的或ATIS广播包含的过渡高度层。
16	航空器驾驶员应以（  ）终止复诵。 {{c1::B}}	航班号||呼号||二次监视雷达编码	2	航空器驾驶员应以呼号终止复诵。
17	航空器驾驶员认为接收到的许可和指令不能遵照执行时，应该 {{c1::B}}	使用短语“不能遵照执行”并说明原因||使用短语“无法执行”并告知原因||任何时候都应该严格按照空中交通管制员的许可和指令操作	2	在任何时候航空器驾驶员认为接收到的许可和指令不能遵照执行时，应使用短语“无法执行（UNABLE）”并告知原因。
18	航空器进行位置报告时，必须包括哪些内容？ {{c1::C}}	预达时刻和续航情况||速度、位置、时间||航空器识别标志、位置、时间	3	除地区航行协议规定无线电通话发送的位置报告中可省略d、e、f内容外，所要求的位置报告必须包括下述各项：（1）航空器识别标志；（2）位置；（3）时间；（4）飞行高度层或高度，包括穿越高度层和许可的高度层，如未能保持许可的高度层；（5）下一位置和飞越时间； （6）下一个重要点。
19	在空地话音通信频道改变后，首次呼叫中应包括 {{c1::B}}	速度和位置||飞行高度层或高度||高度和时间	2	在空地话音通信频道改变后，飞行高度层或高度要包括在首次呼叫当中。当要保持一个指定速度时，飞行机组须将这个速度包括在其位置报告中。
20	下列哪项不属于位置报告中必须包括的内容？ {{c1::C}}	航空器识别标志||时间||航空器积冰情况	3	"除地区航行协议规定无线电通话发送的位置报告中可省略内容外，所要求的位置报告必须包括下述各项：（1）航空器识别标志；（2）位置；（3）时间；（4）飞行高度层或高度，包括穿越高度层和许可的高度层，如未能保持许可的高度层；（5）下一位置和飞越时间； （6）下一个重要点。除常规位置报告外，如有要求或驾驶员认为有必要时，报告： 
1. 预达时刻和续航情况；2. 风向、风速、气温、湍流和航空器积冰情况。"
21	航空器驾驶员遇到下列哪种天气时，必须主动报告？ {{c1::B}}	中度颠簸||火山灰云||弱积冰	2	一旦遇到下列特殊天气，必须主动报告：1. 低空风切变；2. 强湍流；3. 重积冰；4. 强地形波；5. 雷暴雨；6. 大面积或飑线性的冰雹；7. 强尘暴或强沙暴；8. 火山灰云；9. 火山喷发前活动或火山喷发。
22	当航空器需要从一个无线电频率转换到另一个频率时 {{c1::B}}	航空器驾驶员应立即向管制单位申请||管制单位应通知航空器转换频率||航空器驾驶员未得到管制单位通知时，可由驾驶员直接进行频率转换	2	当航空器需要从一个无线电频率转换到另一个频率时，管制单位应通知航空器转换频率。如果管制单位没有通知，航空器驾驶员在转换频率之前应提醒空中交通管制员。
23	当其他空中交通服务单位需要和航空器进一步通话时，可以 {{c1::C}}	指示航空器在“某频率上守听〔STANDBY (frequency）〕”||指令“守听某广播频率〔MONITOR（frequency）〕”||指示航空器在“某频率上守听〔STANDBY (frequency）〕”或指令“守听某广播频率〔MONITOR（frequency）〕”	3	当其他空中交通服务单位需要和航空器进一步通话时，可指示航空器在“某频率上守听〔STANDBY (frequency)〕”，也可指令“守听某广播频率〔MONITOR（frequency）〕”。
24	双向无线电失效时应答机应拨至 {{c1::B}}	7500||7600||7700	2	双向无线电失效时应答机应拨至7600。如可能，通过其他地面电台或飞机转报。
25	如果无线电通信失效发生在目视飞行规则条件下，航空器驾驶员应当 {{c1::A}}	按目视飞行规则继续飞行，并尽快着陆||由目视飞行规则转为仪表飞行规则后，飞往备降机场||由目视飞行规则转为仪表飞行规则后，飞往目的机场	1	依据CCAR91部第91.185条规定，如果无线电通信失效发生在目视飞行规则条件下，或者在失效后遇到目视飞行条件，航空器驾驶员应当按目视飞行规则继续飞行，并尽快着陆。
26	在仪表飞行条件下，发生双向无线电通信失效，飞行员应按照怎样的高度或高度层飞行？ {{c1::C}}	无线电失效前最后一次空中交通管制许可中所指定的高度或飞行高度层||空中交通管制曾告知在后续指令中可能同意的高度或高度层||其他两项中高度较高的高度层	3	"依据CCAR91部第91.185条规定，如果无线电失效发生在仪表飞行规则条件下，并且不能按照本条 (b)款实施目视飞行规则飞行，航空器驾驶员按照下列高度或高度层中最高者飞行： 
①无线电失效前最后一次空中交通管制许可中所指定的高度或飞行高度层； 
②仪表飞行规则运行的最低高度或高度层； 
③空中交通管制曾告知在后续指令中可能同意的高度或高度层。"
27	按仪表飞行规则运行的航空器通信设备故障时，机长应向空中交通管制报告 {{c1::C}}	航空器型号||故障的设备以及故障发生的具体时间||航空器识别标志	3	按仪表飞行规则运行的航空器发生导航、进近或通信设备故障时，机长应当尽快向空中交通管制报告。提交的报告中应当包括下列内容：（1）航空器识别标志；（2）故障的设备； （3）驾驶员按仪表飞行规则驾驶航空器能力受到削弱的程度；（4）需要得到空中交通管制帮助的内容和范围。
28	航空器驾驶员在发出遇险或紧急信号时应讲多少次MAYDAY或PAN PAN？ {{c1::C}}	一次||两次||三次	3	遇险或紧急通话的第一次通话时，以“MAYDAY”开始表示遇险信号；以“PAN PAN”开始表示紧急信号。遇险或紧急信号应讲三次，如“MAYDAY, MAYDAY, MAYDAY”，或者“PAN PAN,PAN PAN, PAN PAN”。
29	关于无线电通话优先权说法正确的是 {{c1::A}}	遇险信号比所有通话具有优先权||紧急信号比所有通话具有优先权||在遇险解除之前，其他航空器也可以使用相同的通话频率	1	遇险信号比所有通话具有优先权，紧急信号比遇险信号以外所有通话具有优先权。其他航空器应避免占用通话频率，除非遇险已经解除或已经终止。
30	遇险和紧急情况的内容应按照什么顺序发送？①收电电台的名称；②航空器的识别标志；③紧急情况的性质；④航空器驾驶员的意图；⑤现在位置、高度和航向；⑥其他有用的情报。 {{c1::C}}	②④③①⑤⑥||①②④③⑥⑤||①②③④⑤⑥	3	"遇险和紧急情况的信息应在当时所用的频率上发送，其内容的发送宜按照下列顺序： 
（1）收电电台的名称； 
（2）航空器的识别标志； 
（3）紧急情况的性质； 
（4）航空器驾驶员的意图； 
（5）现在位置、高度和航向； 
（6）其他有用的情报。"
31	无线电波是指频率低于（  ）的电磁波。 {{c1::B}}	2500MHz||3000GHz||2800KHz	2	无线电波是指频率低于3000GHz的电磁波，无线电波的传播具有反射、折射、绕射和散射现象。
32	无线电波传播的方式包括 {{c1::C}}	地波、天波||地波和空间波||地波、天波和空间波	3	无线电波是指频率低于3000GHz的电磁波，无线电波的传播具有反射、折射、绕射和散射现象。无线电波传播的方式有三种：地波、天波和空间波。
33	NDB导航信号是以（  ）形式传送。 {{c1::A}}	地波||天波||空间波	1	沿地面传播的无线电波叫地波,又叫表面波，例如，NDB导航信号是以地波形式传送。
34	高频无线电通信是以（  ）形式传送。 {{c1::B}}	地波||天波||空间波	2	依靠电离层的反射来传播的无线电波叫做天波。例如，高频无线电通信是以天波形式传送。
35	VOR/DME导航是以（  ）形式传送。 {{c1::C}}	地波||天波||空间波	3	从发射点经空间直线传播到接收点的无线电波叫空间波，又叫直射波。例如，VOR/DME导航和卫星通信是以空间波形式传送。
36	低频ADF设备所使用的频段范围是 {{c1::A}}	30~300 KHz||30~300 MHz||300~3000 KHz	1	低频（LF）的频段范围是30～300千赫（KHz），使用该频率的机载设备有ADF ;NDB; AM BROADCAST。
37	中频NDB设备所使用的频段范围是 {{c1::B}}	30~300 KHz||300~3000 KHz||3~30GHz	2	中频（MF）的频段范围是300~3000 KHz，使用该频率的机载设备有ADF ;NDB; AM BROADCAST。
38	典型的高频通信系统由（  ）组成。 {{c1::C}}	收发组、控制盒和天线||收发机、天线调谐组和控制盒||收发机、天线调谐组、天线和控制盒	3	典型的高频通信系统由收发机、天线调谐组、天线和控制盒组成。
39	关于高频（HF）通信系统的特点说法正确的是 {{c1::C}}	HF通信传播距离近，易受电气干扰，产生无线电背景噪声||HF通信抗干扰性能较好||HF通信信号接收时强时弱	3	"使用HF通信时应注意以下问题： 
（1）HF通信由于传播距离远，易受到电离层扰动、雷电（静电）、电气设备和其他的辐射引起的各种电气干扰，会产生无线电背景噪声； 
（2）HF通信的另一种特性是衰落，即接收时强时弱，这是由于多路径信号接收的超程反应，信号强度变化由电离层的长期和瞬时变化造成的； 
（3）HF通信还存在一个电离层反射垂直入射波的临界频率，高于该临界频率的电波穿过电离层，不会反射回地面。"
40	甚高频通信系统的波道间隔为 {{c1::B}}	20MHZ||25kHz||30kHz	2	甚高频通信系统的工作频段通常为118.00-136.975MHz，波道间隔为25kHz，抗干扰性能较好。
