Index	Question	Options	Answer	Answer Explanation
1	右程序转弯至入航航迹的过程中，当RB实小于RB应时，表明飞机偏在标准航迹的 {{c1::C}}	外侧，进入晚了，应增大坡度||外侧，进入早了，应减小坡度||内侧，进入早了，应减小坡度	3	右程序转弯至入航航迹的过程中，当RB实小于RB应时，表明飞机偏在标准航迹的内侧，飞机进入早了，应减小坡度。
2	左程序转弯至入航航迹的过程中，当RB实>RB应时，表明飞机偏在标准航迹的 {{c1::C}}	外侧，进入晚了，应增大坡度||外侧，进入早了，应减小坡度||内侧，进入早了，应减小坡度	3	左程序转弯至入航航迹的过程中，当RB实>RB应时，表明飞机偏在标准航迹的内侧，飞机进入早了，应减小坡度。
3	机场NDB，其远台距离跑道头约 {{c1::C}}	2公里||3公里||4公里	3	NDB分航线导航台和双归航台两种。双归航台包括远台和近台，安装在跑道延长线上，远台离跑道头4000米，近台离跑道头1000米。
4	机场NDB，其近台距跑道头约 {{c1::A}}	1公里||2公里||3公里	1	NDB分航线导航台和双归航台两种。双归航台包括远台和近台，安装在跑道延长线上，远台离跑道头4000米，近台离跑道头1000米。
5	参考图IR6-4，根据仪表指示确定向台磁方位（即QDM）是 {{c1::C}}	175°||255°||355°	3	左图指针指MH=215°，右图指针指RB=140°，QDM=MH+RB=215+140=355°。
6	参考图IR6-5，根据仪表指示确定背台磁方位（即QDR）是 {{c1::B}}	030°||060°||240°	2	左图指针指示MH=330°，右图指针指示RB=270°，QDM=MH+RB=240°，QDR=QDM±180°，所以QDR=60°。
7	参考图IR6-5，根据仪表指示确定向台磁方位（即QDM）是 {{c1::B}}	060°||240°||270°	2	左图指针指示MH=330°，右图指针指示RB=270°，QDM=MH+RB=240°。
8	参考图IR6-6，如果保持7号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在背台磁方位（QDR）120°的方位线上? {{c1::C}}	2||4||5	3	QDM＝QDR±180°，所以QDM＝120°＋180°＝300°，ADF指示的为RB，RB＝QDM－MH＝300°－270°＝30°，所以图例5为正确答案。
9	参考图IR6-6，如果保持5号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在背台磁方位（QDR）210°的方位线上？ {{c1::C}}	2||3||4	3	QDM=QDR±180°，所以QDM=210°-180°=30°，ADF指示RB，RB=QDM-MH=30°-180°+360°=210°，图例4指示RB=210°。
10	参考图IR6-6，如果保持3号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在向台磁方位（QDM）120°的方位线上？ {{c1::B}}	4||5||8	2	由题干可知，QDM=120°，MH=90°，所以RB=QDM-MH=30°，图例5指示RB=30°。
11	参考图IR6-6，如果保持2号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在向台磁方位（QDM）255°的方位线上？ {{c1::B}}	2||4||5	2	由题干可知，QDM=255°，MH=45°，所以RB=QDM-MH=210°，图例4指示RB=210°。
12	参考图IR6-6，如果保持4号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在向台磁方位（QDM）135°的方位线上？ {{c1::A}}	1||4||8	1	由题干可知，QDM=135°，MH=135°，所以RB=QDM-MH=0°，图1指示RB为0°。
13	参考图IR6-6，如果保持8号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在背台磁方位（QDR）090°的方位线上 {{c1::C}}	3||4||6	3	QDR=QDM±180°，所以QDM=90°+180°=270°，已知MH=315°，可知RB=QDM-MH=270°-315°+360°=315°，图6指示RB为315°。
14	参考图IR6-6，如果保持5号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在向台磁方位（QDM）240°的方位线上？ {{c1::A}}	2||3||4	1	由题干可知，QDM=240°，MH=180°，所以RB=240°-180°=60°，图2指示RB为60°。
15	参考图IR6-6，如果保持8号飞机所指示的磁航向，哪一幅ADF图例指示此飞机在向台磁方位（QDM）315°的方位线上？ {{c1::C}}	3||4||1	3	由题干可知，QDM=315°，MH=315°，可知RB=315°-315°=0°，图例1指示RB为0°。
16	参考图IR6-1，电台在飞机纵轴的什么方向？ {{c1::B}}	正前方||左正侧方||右正侧方	2	
17	机上ADF输出方位信号到RMI上指示，其针尾指示的是什么方位角？ {{c1::A}}	飞机方位角（QDR）||电台方位角（QDM）||相对方位角（RB）	1	机上ADF输出方位信号到RMI上指示，其针尖指示QDM，针尾指示QDR。
18	参考图IR6-4，仪表指示确定的飞机磁方位QDR是 {{c1::A}}	175°||255°||355°	1	看图可知，MH=215°，RB=140°，QDM=MH+RB=355°，QDR=QDM±180°=175°。
19	参考图IR6-7，图2表明电台磁方位QDM是 {{c1::C}}	330°||315°||135°	3	针尖所指即为QDM，看图可知，QDM为135°。
20	参考图IR6-7，图3表明电台磁方位QDM是 {{c1::A}}	190°||010°||315°	1	针尖所指即为QDM，看图可知，QDM为190°。
21	参考图IR6-7，图4表明电台磁方位QDM是 {{c1::B}}	255°||155°||335°	2	针尖所指即为QDM，看图可知，QDM为155°。
22	自动定向机采用（ ）可以调谐识别电台。 {{c1::A}}	ANT||ADF||Test	1	机载定向设备一般包括自动定向接收机、控制盒、方位指示器、环形天线和垂直天线 。NDB导航台的音频识别信号送至飞机音频系统，飞行员可以监听摩尔斯电码。自动定向机工作方式为“ADF”时，工作在自动定向方式，指针指向电台；工作方式为“ANT”时，能够调谐识别电台和收听语音信息，但ADF指示器没有指示。
23	在黄昏和日出前，为了减少自动定向机的夜间效应，应（） {{c1::A}}	使用低频ADF；增加高度||使用高频ADF；增加高度||使用低频ADF；减小高度	1	1、静电干扰误差：大气放电时，会辐射多种频率的电波，其中影响最大的是中波和长波，使得ADF接收机受到干扰。克服静电干扰的方法，仔细辩听信号，当干扰杂音最小，指针指示稳定的瞬间读取方位。选择的导航台应是距离近、功率大的导航台。2、夜间效应误差：自动定向机工作在中波波段，电离层对电波的吸收白天比夜间强。通常出现在日落后2小时和日出前2小时的一段时间内，夜间效应引起的定向误差一般在10°~15°左右。尽量选择频率低、距离较近的导航台，增加飞行高度，并在测定方位时读取平均值。
24	电波传播的方向同海岸线的夹角（ ），海岸效应引起的方位误差越大。 {{c1::B}}	越大||越小||相等	2	电波从陆地进入海面，或从海面进入陆地，由于电波传播的导电系数发生改变，从而产生定向误差。电波传播的方向同海岸线的夹角越小，则海岸效应引起的方位误差越大；传播方向与海岸线垂直时，不产生误差。
25	DME、VOR台发射的识别信号是多少个英文字符的莫尔斯电码? {{c1::C}}	一个||二个||三个	3	DME、VOR台识别信号是3个国际莫尔斯电码。
26	参考图IR6-3，图4指示的向台磁方位（即QDM）是 {{c1::B}}	285°||055°||235°	2	指针针尖指示QDM，看图可知，QDM为55°。
27	参考图IR6-7，RMI调到某VOR台，哪幅图指示此航空器在R-115°径向线上? {{c1::A}}	1||2||3	1	指针针尾指示QDR，看图可知，图1指示QDR=115°。
28	参考图IR6-7，RMI调到某VOR台，哪幅图指示此航空器在R-335°径向线上? {{c1::C}}	2||3||4	3	指针针尾指示QDR，看图可知，图4指示QDR=335°。
29	参考图IR6-7，RMI调到某VOR台，哪幅图指示此航空器在R-315°径向线上? {{c1::A}}	2||3||4	1	指针针尾指示QDR，看图可知，图2指示QDR=315°。
30	什么情况下，HSI（或CDI）航道指针箭头方向指示飞机磁方位？ {{c1::C}}	“TO/FROM”显示“FROM”时||“TO/FROM”显示“TO”且航道偏离杆在中央时||“TO/FROM”显示“FROM”且航道偏离杆在中央时	3	当“TO/FROM”显示“FROM”且航道偏离杆在中央时，HSI（或CDI）航道指针箭头方向指示飞机磁方位。
31	使用VOR导航时，CDI上航道杆偏右，说明飞机偏在预选航道的 {{c1::A}}	左边||右边||不能判断	1	使用VOR导航时，CDI上航道杆偏左，说明飞机偏在预选航道的右边，如航道偏离杆偏右说明飞机偏在预选航道的左边。
32	参考图IR6-9，代号“B”的飞机所在的VOR径向方位约为 {{c1::B}}	99°||261°||279°	2	
33	参考图IR6-9，代号“C”的飞机所在的VOR径向方位约为 {{c1::A}}	171°||9°||351°	1	
34	参考图IR6-9，代号“D”的飞机所在的VOR径向方位约为 {{c1::B}}	171°||189°||9°	2	
35	参考图IR6-9，代号“E”的飞机所在的VOR径向方位约为 {{c1::C}}	351°||189°||9°	3	
36	参考图IR6-9，代号“F”的飞机所在的VOR径向方位约为 {{c1::B}}	0°||180°||270°	2	
37	参考图IR6-13和图IR6-14，在1.9NM处，飞机偏离航向道和下滑道各是 {{c1::B}}	航向道中心线左侧710英尺，下滑道下方140英尺||航向道中心线右侧710英尺，下滑道上方140英尺||航向道中心线右侧430英尺，下滑道上方28英尺	2	根据图IR6-14可知，飞机偏离航向道右侧2点，偏在下滑道上边2点，看图IR6-13可知，在1.9nm处，偏离航向道2点，表示偏离710英尺，偏离下滑道2点表示偏离140英尺。
