Index	Question	Options	Answer	Answer Explanation
1	以下哪种因素可能导致驾驶员失能？ {{c1::A}}	冠心病||胃肠胀气||感冒	1	冠心病会导致心脏缺血，产生心绞痛，如果动脉壁上的斑块形成溃疡或破裂，就会形成血栓，使整个血管血流完全中断，发生急性心肌梗死，甚至猝死。冠心病及其相关事件可以导致严重的失能事件发生。感冒会导致飞机爬升或下降过程中更容易出现耳胀或耳压疼痛等气压性损伤症状。（3）食欲不振、胃肠胀气、腹泻等胃肠不适都会影响飞行员的工作表现。
2	在执行飞行任务中是否可以服用镇痛药物？ {{c1::B}}	可以||不可以||在得到航医的允许后才可服用	2	一般来说，飞行人员用药的原则是，凡是具有中枢神经系统抑制作用的药物、导致植物神经系统障碍的药物、镇痛药物和中枢性抗高血压制剂或神经节阻滞剂都不能在执行飞行任务时使用。
3	以下可以导致心率加快、血压增高的是 {{c1::B}}	烟草||酒精||毒品	2	酒精在抑制中枢神经系统的同时，会使心率加快、血压增高。酒精对飞行安全的危害相当严重，可以降低飞行员对飞行操作的控制能力，使飞行员更容易发生空间失定向以及缺氧症。
4	克服慢性应激的措施包括 {{c1::A}}	建立亲密朋友的支持网络，寻求社会支持||对存在的问题“睁一只眼，闭一只眼”||在潜意识里否认应激源的存在	1	克服慢性应激可通过环境学方法。最好的环境措施是改变自己的行为，以下的行为变化时可取的：①建立一个亲密朋友的支持网络，寻求社会支持；②学会较多的交际手段和方法；③学会肯定自我；④对别人和自己的不完美应持较宽容的态度；⑤学会并提高对环境应激源的洞察力。
5	在8000米以上飞行时，飞行员突然出现关节疼痛，胸痛等现象，说明飞行员可能出现了 {{c1::A}}	高空减压病||一氧化碳中毒||换气过度	1	高空减压病的发病大多数都是在上升到8000米以上高空，停留一段时间以后发病。其主要表现为关节疼痛，有时出现皮肤刺痛或瘙痒感觉以及咳嗽、胸痛等，严重时还可有中枢神经系统症状，极端的情况下可导致休克。
6	高空减压病的预防方法有 {{c1::C}}	保证座舱内的氧气供给||增压座舱出现失压情况后，应保持高度并立即吸氧||合理膳食，坚持体育锻炼	3	高空减压病的预防：①保证座舱内足够的压力；②吸氧排氮；③飞行中若发生事故性减压，应逐渐下降至较安全的高度；④控制重复暴露的间隔时间；⑤合理膳食和坚持体育锻炼。
7	下列关于中耳气压性损伤说法正确的是 {{c1::C}}	感冒时更易出现中耳气压性损伤，常用捏鼻鼓气法预防中耳气压性损伤||中耳气压性损伤多发生于8000米以上高空||因咽鼓管是“单向活门”，必须主动做咽鼓管通气动作，消除鼓室负压	3	"飞机下降时，外界环境压力大于鼓室压力，鼓室形成负压，因咽鼓管是“单向活门” ，不能自行开放，必须主动做咽鼓管通气动作，才能使之开放。如鼓室负压持续存在且一直不能消除，则可形成中耳气压损伤。中耳气压性损伤多发生于4000米以下，尤以1000-2000米高度为最多。预防中耳气压性损伤，需要主动作咽鼓管通气动作，常见的方法有：
(1)吞咽法(2)捏鼻鼓气法（瓦尔萨瓦氏法） （感冒时谨慎使用）(3)运动下颌法(4)运动软腭法，如模拟打呵欠。"
8	下列关于缺氧症状的说法不正确的是 {{c1::C}}	缺氧会导致感光能力和夜视能力下降，视野缩小||缺氧会出现智力功能障碍，记忆力逐渐减退||缺氧可导致皮肤刺痛，咳嗽和呼吸困难	3	缺氧无明显的、特异的痛苦症状。缺氧早期，会出现假兴奋，真抑制的现象，即情绪兴奋，智力抑制（智力抑制表现在前，情绪兴奋在后），飞行员容易低估其危险性，丧失补救时机。 缺氧对视觉影响很大，会导致感光能力和夜视能力下降，视野缩小。神经系统机能受到缺氧的影响，会出现智力功能障碍，自省力差，理解判断能力被破坏，记忆力逐渐减退，注意力减弱，选择反映时间变长，眼手运动协调机能受损，情绪改变及情感障碍，精神紊乱，严重的导致意识模糊直至丧失意识甚至死亡。高空减压病的主要表现是关节疼痛，有时出现皮肤刺痛或瘙痒感觉以及咳嗽、胸痛等，极端的情况下可导致休克。
9	随着飞行高度的增加，发生高空缺氧时，飞行员的有效意识时间将会 {{c1::A}}	急剧缩短||缓慢缩短||先缓慢缩短，戴上氧气面罩后将会逐渐延长	1	在高空缺氧的情况下，几分钟内就会使人丧命，保持意识清醒的时间就更短了。如果超过了有效意识时间的限制，即便飞行员试图戴上氧气面罩，也可能是无能为力了。需要指出的是，随着高度的增加，一旦发生缺氧，飞行员的有效意识时间将急剧缩短。
10	由于座舱废气导致贫血性缺氧症时，应有的措施是 {{c1::A}}	打开新鲜空气入孔，并及时供氧||立刻作深呼吸，并活动四肢||大声说话，以免意识丧失	1	民用航空中贫血性缺氧症的常见原因是一氧化碳中毒，座舱内发生贫血性缺氧症时，需要打开新鲜空气入孔，并及时供氧。
11	下面哪个为缺氧的定义？ {{c1::A}}	身体缺乏氧气的一种状态||关节和肌肉周围形成气泡的一种状态||吸入氧气量增加异常	1	缺氧是指因组织的氧气供应不足或用氧障碍，而导致组织的代谢、功能和形态结构发生异常变化的病理过程。
12	关于缺氧症的描述正确的一项是 {{c1::A}}	飞行员的活动量可明显影响有用意识时间||飞行员的活动量可明显延长有用意识时间||飞行员的活动量对有用意识时间没有影响	1	缺氧后，身体活动量越大，有用意识时间将越短。
13	以下陈述中正确的是 {{c1::C}}	随着高度的增加，大气的组成成分将发生急剧变化||随着高度的增加，大气压力将急剧增高||随着高度的增加，单位体积内的氧分压降低	3	随着高度的增加，空气密度稀薄，大气压和氧分压降低。
14	短时记忆具有哪些特点？ {{c1::B}}	时间长，容量大||时间短，容量小||时间短，容量大	2	记忆分为感觉记忆、短时记忆和长时记忆。短时记忆是指外界刺激以极短的时间一次呈现后，保持时间在1分钟以内的记忆。短时记忆的特点：短时记忆的容量有限，一般为7±2，即5---9个项目；语言文字的材料在短时记忆中多为听觉编码；短时记忆中的信息是当前正在加工的信息，因而是可以被意识到的；短时记忆的信息经过复述(机械的复述或运用记忆术所做的精细复述)，可转入长时记忆系统。
