Index	Question	Options	Answer	Answer Explanation
1	关于选定基准的说法正确的是 {{c1::B}}	只能选择在飞机的机头||可选择在任意位置||应选择在重心位置	2	基准是用于计量重心位置的参考面。基准的选定与重心位置无关。有的机型可能选取在机头，有的机型可能选取在主轮等等。
2	飞机的起飞重量是 {{c1::C}}	零燃油重量+巡航燃油||零燃油重量+可用燃油||停机坪重量-滑行燃油重量	3	停机坪重量 - 滑行燃油 = 起飞重量。
3	纵向载荷是指 {{c1::B}}	沿飞机纵轴的压力分布||沿机身纵向单位长度地板能够承载的最大重量||沿机身纵向加装的货物重量	2	纵向载荷（running load）是指沿机身纵向单位长度地板能够承载的最大重量，单位磅／英尺。
4	单位面积地板能够承受的最大重量是 {{c1::A}}	面积载荷||地板载荷||机舱载重	1	面积载荷（floor load）是指单位面积地板能够承受的最大重量，单位磅／平方英尺。
5	为什么放置行李的地方通常会限制携带行李的重量？ {{c1::C}}	航空公司考虑到运输经济性||以备留出应急空间||为了保证装载安全	3	飞机地板承受的力会随着飞行过程中载荷的变化而发生变化，所以放置行李的地方通常会限制携带行李的重量。
6	一个长115英寸，宽73英寸的托盘上，放置了一个12千克的货物，一个10千克的行李箱，一个8千克的沙袋，托盘的长度方向与地板纵向一致，求地板所承受的纵向载荷？ {{c1::A}}	7磅/英尺||15磅/英尺||15千克/英尺	1	纵向载荷（running load）是指沿机身纵向单位长度地板能够承载的最大重量，单位磅／英尺。根据题意：总重量=12+10+8=30KG=66磅，地板受力的纵向长度就是托盘的长度：115英寸≈9.6英尺。纵向载荷=66/9.6≈7磅/英尺。
7	一个长115英寸，宽73英寸的地板上，放置了一个12千克的货物，一个10千克的行李箱，一个8千克的沙袋，求地板所承受的面积载荷？ {{c1::A}}	1.14磅/平方英尺||0.52磅/平方英尺||114 磅/平方英寸	1	面积载荷（floor load）是指单位面积地板能够承受的最大重量，单位磅／平方英尺。根据题意：总重量=12+10+8=30KG=66磅，地板面积：73*115=8395平方英寸=58平方英尺。面积载荷=66/58=1.14磅/平方英尺。
8	飞机装载如下：货盘尺寸为116.8英寸×87.7英寸，货盘重量为137磅，系留装置为49磅；货物重量为12262.4磅，则对飞机地板的承重最小应为 {{c1::B}}	172磅/平方英尺||175磅/平方英尺||179磅/平方英尺	2	根据题意：总重量=137+49+12262.4=12448.4磅，地板面积：116.8×87.7=10243.36平方英寸≈71.1平方英尺。面积载荷=12448.4/71.1≈175磅/平方英尺。
9	飞机超载和超限会对飞机结构造成什么影响？ {{c1::B}}	着陆时起落架撞击力过大||遇到颠簸时容易使结构载荷过大||起飞时机翼受力过大	2	飞机超载及超限可能会在飞机遇到颠簸和风切变受到的载荷变化，对飞机结构造成损坏。
10	参看图CPL3-2，根据下面给定条件，空机重量（包括滑油）577公斤，空机重量力矩：1175.6公斤米，正副驾驶重量：163公斤，后座乘客重量：64公斤，货物重量：154公斤，燃油：100公斤，问：当飞行中消耗了82公斤燃油后，飞机的重心是否在限制范围之内？ {{c1::A}}	是，飞机重心仍在限制范围之内||不是，飞机重心将移到重心后限之后||是，但飞机重心将位于重心范围的阴影部分	1	"1公斤≈2.2磅，1米≈39英寸。已知燃油100公斤，在飞行中消耗了82公斤后，剩余油量18公斤。由条件可知，总重量和总力矩如下：  
                总重（磅）         力矩（1000英寸•磅）
空机重量         1269                   100.9
正副驾驶重量     359                    32.4
后座乘客重量     141                    17.2
货物重量         339                    39.2
燃油             40                     3.5
总计             2148                   193.2
在图中画线可以看出飞机重心在限制范围之内。"
