Index	Question	Options	Answer	Answer Explanation
1	"下列法规由中国民用航空局负责颁布的有？
①通用航空飞行管制条例；②民用航空人员体检合格证管理规则（CCAR67）；③运输类飞机适航标准（CCAR25）；④一般运行和飞行规则(CCAR91) {{c1::B}}"	①②③④||②③④||①②③	2	《通用航空飞行管制条例》由国务院和中央军委负责颁布，其他三个都是由中国民用航空局负责颁布。
2	下列关于相关法规说法正确的是？ {{c1::A}}	中华人民共和国飞行基本规则是由国务院和中央军委颁发的一个行政法规||民用航空器驾驶员和地面教员合格审定规则（CCAR61）由国务院民航主管部门颁布的一个行业规章||为了促进通用航空事业的发展，规范通用航空飞行活动，保证飞行安全，中国民用航空局颁布了《通用航空飞行管制条例》	1	民用航空器驾驶员和地面教员合格审定规则（CCAR61）由中国民用航空局颁布，性质属于行业规章。国务院，中央军委颁布《通用航空飞行管制条例》，目的是为了促进通用航空事业的发展，规范通用航空飞行活动，保证飞行安全。
3	"以下属于空勤人员的有
①飞行人员；②安全保卫员（空保）；③乘务员；④飞行签派员 {{c1::C}}"	③④||①③④||①②③	3	"《中国民用航空法》第三十九条：本法所称航空人员，是指下列从事民用航空活动的空勤人员和地面人员：                                   
（一）空勤人员，包括驾驶员、领航员、飞行机械人员、飞行通信员、乘务员；
（二）地面人员，包括民用航空器维修人员、空中交通管制员、飞行签派员、航空电台通信员。"
4	具有飞机运行最终决定权的人员是 {{c1::A}}	机长||飞机所有人||合格证持有人	1	依据CCAR-91部第91.5 条规定，民用航空器的机长对民用航空器的运行直接负责，并具有最终决定权。
5	在仪表飞行规则条件下或在低于目视飞行规则规定的最低标准的气象条件下担任航空器机长，应当？ {{c1::B}}	持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用）||持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用）||对于滑翔机机长，持有私用或商用驾驶员执照	2	"在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任航空器的机长，应当符合下列要求之一：
1.持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用） 和仪表等级；
2.持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用） ；
3.对于滑翔机机长，持有附带滑翔机类别等级和飞机仪表等级的驾驶员执照。"
6	在仪表飞行规则条件下担任航空器机长，至少应当持有？ {{c1::A}}	私用驾驶员执照||商用驾驶员执照||学生驾驶员执照	1	"在仪表飞行规则（IFR）条件下或在低于目视飞行规则（VFR）规定的最低标准的气象条件下担任航空器的机长，应当符合下列要求之一：
1.持有私用或商用驾驶员执照，并具有适合于所飞航空器的类别、级别、型别（如适用） 和仪表等级；
2.持有多人制机组驾驶员执照或航线运输驾驶员执照，并具有适合于所飞航空器的类别、级别和型别等级（如适用） ；
3.对于滑翔机机长，持有附带滑翔机类别等级和飞机仪表等级的驾驶员执照。"
7	在执照丢失期间，飞行员应当 {{c1::A}}	申请临时执照，其有效期为120天||在重新补发正式执照之前不能飞行||重新参加考试获取执照	1	"依据CCAR61部第61.19条规定，局方可以为下列申请人颁发有效期不超过 120 天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
8	临时执照和正式执照上在行使权利时有何区别？ {{c1::A}}	临时执照在有效期内具有和正式执照同等的权利和责任||临时执照在行使权利时有一定的局限性||临时执照不能行使和正式执照同等的权利	1	"局方可以为下列申请人颁发有效期不超过120天的驾驶员临时执照，临时执照在有效期内具有和正式执照同等的权利和责任：
(1) 已经审定合格的执照申请人，在等待颁发执照期间；
(2) 在执照上更改姓名的申请人，在等待更改执照期间；
(3) 因执照遗失或损坏而申请补发执照的申请人，在等待补发执照期间。"
9	在下列条件下担任航空器机长的驾驶员，必须持有适合该航空器的类别等级的是？ {{c1::A}}	受雇于一家通航公司，在一次调机任务中担任机长||在教员的监视下，为取得驾驶员执照的训练中担任机长||已接受了相关训练，其教员已在飞行经历记录本上签字同意其单飞时担任机长	1	根据CCAR61.27条规定：在载运人员或实施取酬运行的航空器上担任机长或为取酬而担任航空器机长的驾驶员，应当持有适合该航空器的类别、级别和型别等级（ 如果该航空器要求级别或者型别等级） 。在CCAR-61.27条（C）（1）规定运行范围以外担任航空器机长的，应当符合下列条件之一：（1）持有适合该航空器的类别、级别和型别等级（ 如果该航空器要求级别或者型别等级） ；（2）在授权教员的监视下，接受适用于该航空器的以取得驾驶员执照或者等级为目的的训练；（3）已经接受了CCAR-61部要求的适用于该航空器的类别、级别和型别等级（如果该航空器要求级别或型别等级）的训练，并且授权教员已在该驾驶员飞行经历记录本上签字，批准其单飞。
10	持有飞机类别单发陆地级别等级的飞行员，能否驾驶飞艇？ {{c1::B}}	可以，但不能以取酬为目的||不可以，需要持有飞艇类别等级||可以，因为飞机类别级别高于飞艇类别	2	根据CCAR61.27条规定：持有飞机类别单发陆地或多发陆地级别等级的驾驶员可以行使附带陆地等级的初级飞机执照所赋予的权利；持有飞机类别单发水上或多发水上级别等级的驾驶员可以行使附带水上等级的初级飞机执照所赋予的权利；持有飞艇类别等级的驾驶员可以行使附带小型飞艇等级的运动驾驶员执照所赋予的权利。
