Index	Question	Options	Answer	Answer Explanation
1	废气增压装置和齿轮增压装置相比，其主要特点是 {{c1::A}}	不需要消耗发动机功率||其增压效果更好||直接对进气进行增压	1	按照增压装置是否消耗发动机功率，可以分为机械增压（齿轮）和废气增压（涡轮）。废气增压装置，利用气缸排气行程排出尾气的余温余压，在废气涡轮内膨胀作功带动涡轮转动，废气增压涡轮拖动进气增压涡轮对进气进行增压，与齿轮增压装置相比不需要消耗发动机功率，但是需要发动机功率和转速较小时，废气涡轮增压效果较差，在关车前需要冷却。
2	活塞飞机长时间持续下降的过程中，应特别注意气缸进气压力的变化，是因为 {{c1::B}}	减小油门以减小速度||避免爆震||控制合理的下滑角和下滑率	2	增压发动机的气缸进气压力较大，当进气压力过大、发动机转速较小且汽缸头温度较高时相对容易发生爆震，因此在长时间持续下降时应注意监控进气压力的变化，避免进气压力过大导致爆震。
3	航空活塞式动力装置的燃油调节系统有 {{c1::C}}	浮子式和喷射式||薄膜式和喷射式||直接喷射式和汽化器式	3	活塞式发动机燃油控制系统有两种燃油控制类型：汽化器式;直接喷射式。
4	只有在（ ）情况下才要求发动机混合比富油程度较小。 {{c1::B}}	小转速||中转速||大转速	2	油气计量控制主要是控制计量燃油的流量和压力，发动机在不同转速下所需的混合比不同，通常在小转速时为了克服废气冲淡效应，需要适度富油，在大转速时需要保证较大输出功率和帮助汽缸头散热，也需要适度富油，只有在中等转速时所需油气富油程度较小，因此发动机燃油系统通常控制燃油流量或压力以保证不同情况下对混合比的要求。
5	航空活塞式发动机点火系统的主要组成部分包括 {{c1::C}}	磁电机、继电器和启动振动器||磁路、高压电和电嘴||磁电机及其开关、电嘴和高压导线	3	发动机点火系统的功用是照发动机各汽缸规定的点火次序，适时地产生高强度的电火花点燃汽缸中的油气混合气。现代大多数活塞发动机点火系统都由磁电机、磁电机开关、高压导线、电嘴等组成。
6	分电器的主要功用是 {{c1::A}}	将高压电按点火次序输送到各气缸的电嘴||将地面电源或蓄电池的电输送到启动机||将电源电能输送到启动机	1	分电器将高压电按发动机的点火次序输送至各汽缸的电嘴，在压缩行程末期高压电通过电嘴击穿空气放电形成电弧点燃混合气，通常为了提升火焰在气缸中的传播速度并增加点火可靠性，每个气缸头布置两个点火电嘴。
7	航空活塞发动机正确的关车方式是 {{c1::B}}	关闭磁电机||混合比杆收到最后||油门杆收到最后	2	驾驶舱内有混合比杆，前推混合比杆增大燃油流量使混合比更加富油，后收混合比杆反之减小燃油流量使混合比贫油，将混合比杆收光将切断供油。发动机关车时必须将混合比杆收光，完全切断油路，而不能以关闭磁电机开关的方式关车。
8	启动机及启动继电器通常使用的是（）电启动机？ {{c1::A}}	直接启动式||间接启动式||循环启动式	1	"启动机及启动继电器
目前广泛使用的是直接启动式电启动机，通过启动继电器接通机载蓄电池，提供电源来启动发动机，当数次未能成功启动发动机，或机载蓄电池电压偏低或飞机未装蓄电池的情况下，也可使用地面电源来启动发动机。根据飞机用电系统设计的不同，启动电源一般使用直流24V。"
9	气缸散热片是通过（ ）进行散热？ {{c1::A}}	增大空气和气缸外壁的接触面积||改变散热空气流向||控制散热空气流量	1	发动机工作时，为了保证机件温度正常，必须散走大量的热。由于汽缸外壁向外传热的传热系数较小，空气流过汽缸外壁面时，不足以带走全部应散去的热量。解决这一矛盾的办法，是在汽缸头和汽缸身的周围安装散热片，增大空气和汽缸外壁的接触面积，当空气流过汽缸周围时，热量即经散热片随气流散走。
10	在长时间的爬升过程中，应该如何控制鱼鳞板进行散热？ {{c1::A}}	增大开度||减小开度||维持开度	1	有些飞机在整流罩的出口处，装有控制空气流通的风门，这个风门叫做鱼鳞板(也叫侧风门)。有些飞机，在整流罩的进口处还装有控制空气流通的另一个风门，这个风门叫做百叶窗(又叫鱼鳞片)。鱼鳞板和百叶窗统称为整流罩通风片，都可在座舱内操纵，用来控制冷却发动机的空气流量，以调节汽缸的温度。长时间爬升过程中，气缸头温度较高，可增大鱼鳞板的开度从而增加散热空气量。
