Index	Question	Options	Answer	Answer Explanation
1	使用下列增压装置不会消耗飞机输出功率的是 {{c1::B}}	机械增压||废气增压||以上两种	2	"按照增压装置是否消耗发动机功率，可以分为机械增压（齿轮）和废气增压（涡轮）。
废气增压装置，利用气缸排气行程排出尾气的余温余压，在废气涡轮内膨胀作功带动涡轮转动，废气增压涡轮拖动进气增压涡轮对进气进行增压，与齿轮增压装置相比不需要消耗发动机功率，但是需要发动机功率和转速较小时，废气涡轮增压效果较差， 在关车前需要冷却。"
2	双发飞机多采用（ ）型式的燃油系统。 {{c1::C}}	重力供油或动力供油||总汇流管供油||独立与交输供油	3	飞机燃油系统根据安装发动机的数量采取不同的型式。小型活塞式发动机飞机一般采用重力供油或动力供油。双发飞机多采用独立与交输供油。三发以上的飞机一般采用总汇流管供油。
3	双发飞机通常采用的供油方式是？ {{c1::A}}	正常情况下，左燃油系统给左发供油，右燃油系统给右发供油；当两边油量不平衡或单发时可交输供油。||只能左燃油系统给左发供油，右燃油系统给右发供油。||左燃油系统给右发供油，右燃油系统给左发供油。	1	"飞机燃油系统根据安装发动机的数量采取不同的型式。
1、单发重力与动力供油
小型活塞式发动机飞机一般采用重力供油或动力供油。飞行员通过燃油选择器选择左/右油箱或左＋右油箱供油。
2、双发独立与交输供油系统
双发飞机多采用独立与交输供油。正常情况下，左、右燃油系统各自独立向两发供油；当两边油量不平衡或单发时可交输供油。
3、多发总汇流管供油系统
三发以上的飞机一般采用总汇流管供油。各主油箱可独立向相应发动机供油；各油箱也可向汇流管供油再由汇流管向各发供油；某发失效时，对应主油箱燃油经汇流管向其余发动机供油。"
4	动力供油方式的供油动力源是 {{c1::C}}	电源系统||气源系统||电动燃油泵	3	当压力不够或者发动机的安装位置高于燃油箱时，则采用动力供油方式。动力供油系统采用电动离心泵作为供油动力源，将燃油增压后供向发动机。
5	飞机燃油系统的组成部分包括 {{c1::B}}	燃油箱，油门杆||燃油泵，燃油滤||燃油控制活门，混合比杆	2	飞机燃油系统主要由燃油箱、燃油泵、燃油滤、控制活门和燃油测量装置等部分组成。
6	飞机地面加油前必须检查飞机搭地线是否接地，主要是 {{c1::B}}	使飞机用电设备接地||防止放电起火||防止加油时遭雷击	2	飞机地面加油时，应特别注意防火，加油前应检查飞机搭地线，加油车搭地线和加油枪接地线是否接地，以防止放电起火。另外，地面消防员必须到位做好消防准备。
7	飞机在空中放油时，应注意 {{c1::C}}	在指定的空域内任何高度都可以||最好是将燃油放完||飞机应处于净外形状态	3	飞机在空中放油的目的是防止超重着陆，或降低带故障着陆起火的可能性。为了防止污染和着火，空中放油应在指定空域和规定的高度进行；注意留够余油，一般达到最大着陆重量为宜；飞机应处于净外形状态。
8	现代民航飞机中应用较为广泛的电源设备为 {{c1::C}}	直流发电机||干电池||交流发电机	3	交流发电机与直流发电机相比有很多优点，重量轻，维护方便，输出稳定且高空性能得到改善。因此，在现代飞机上广泛使用交流发电机。
9	衡量交流电的指标是 {{c1::B}}	电压值||电压的有效值和电压变化的频率||电流值	2	通常衡量直流电的指标为电压值，衡量交流电的指标为电压的有效值和电压变化的频率。飞机上主要使用115V/400Hz三相和单相交流电及28V或14V直流电。
10	供电系统是由（ ）组成。 {{c1::B}}	蓄电池、电压表||电源系统和输配电系统||发电机、启动系统	2	供电系统主要由电源系统和输配电系统组成，电源系统产生电能，输配电系统负责将电能输送并分配给用电设备。
11	飞机的主电源的电能如何产生？ {{c1::C}}	蓄电池或地面电源提供||由APU驱动发电机产生||发动机驱动发电机产生	3	电源系统分为主电源、应急电源、二次电源、辅助电源和地面电源，主电源通常由发动机齿轮箱拖动直流发电机或交流发电机产生直流电或交流电。
12	下列不属于二次电源的装置是 {{c1::C}}	整流器或变压整流器||静止变流机或逆变器||APU或航空蓄电池	3	飞机上通常使用电能变换装置实现交流电和直流电之间的变换，将一种电能形式变为另一种电能形式的装置就是二次电源。通常将交流电变换成直流电的二次电源称为整流器或变压整流器。将直流电变换成交流电的装置称为静止变流机或者逆变器。
13	飞机外部电源接口的主要作用是 {{c1::A}}	提供较大功率电源直接起动发动机或APU||利用地面电源，减少对蓄电池的消耗||飞机在地面时，接通地面电源供飞机上各用电设备使用	1	飞机外部电源接口能提供较大功率电源，可以直接起动发动机或APU。
14	机身外部的积冰探测器通常采用的防冰方式是 {{c1::A}}	电热防冰||液体防冰||气热防冰	1	机身外部的空速探头、皮托管、温度探头、失速警告传感器和积冰探测器一般采用电热防冰。
15	将交流电变换成直流电的二次电源称为（）。 {{c1::C}}	逆变器||静止变流机||变压整流器	3	"飞机上通常使用电能变换装置实现交流电和直流电之间的变换，将一种电能形式变为另一种电能形式的装置就是二次电源。
通常将交流电变换成直流电的二次电源称为整流器或变压整流器。将直流电变换成交流电的装置称为静止变流机或者逆变器。"
16	飞机配电系统的配电方式有 {{c1::B}}	独立式、交互式和混合式||集中式、分散式和混合式||外部配电、自身配电和混合配电	2	飞机配电系统的配电方式可分为集中式、分散式和混合式。
17	混合式配电的优点是 {{c1::C}}	当一台发电机损坏时，用电设备仍能由其他发电机继续供电，操作维护方便||电源不并联运行，控制保护简单，系统可靠性高||可大大减小导线用量，简化配电装置结构，减轻其质量	3	集中式配电主要优点是当一台发电机损坏时，用电设备仍能由其他发电机继续供电，操作维护方便。因此这种配电方式在直流配电系统中仍有广泛应用。分散式配电方式系统中各发电机不并联运行，即每个电源各自的电源汇流条和用电设备汇流条互不并联，但能转换。当前两台发动机的民用飞机，几乎都采用这类配电方式。由于其电源不并联运行，控制保护简单，系统可靠性高。混合式配电系统可大大减小导线用量，简化配电装置结构，减轻其质量。
18	当系统输出电压过大时，过压保护器断开的设备是 {{c1::A}}	供电系统与发电机||供电系统和用电设备||供电系统和发动机	1	调压器的作用是使得系统在额定范围内，输出电压保持稳定，如果输出电压过大，则过压保护器会将发电机从供电系统中断开。
19	飞机起落架减震装置主要包括 {{c1::C}}	轮胎和弹簧||减震油液和减震器||轮胎和减震器	3	起落架减震装置包括轮胎和减震器。轮胎在飞机起飞和着陆过程中可以形成一个气垫，以帮助吸收撞击能量或摩擦产生的热能；减震器吸收着陆撞击动能，减小着陆撞击力；并消耗着陆撞击动能，减弱飞机着陆后的颠簸振动。
20	油气式减震支柱是通过（ ）吸收着陆撞击动能的。 {{c1::A}}	气体压缩||油液高速流动||油、气同时被压缩	1	油气式减震支柱的工作原理是：利用气体压缩吸收着陆撞击动能，延长飞机着陆垂直分速的消失时间，减小着陆撞击力；利用油液高速流过小孔产生的摩擦热，消耗吸收的能量，减弱飞机的颠簸跳动。飞机着陆接地后，油气式减震支柱的减震过程可分为压缩、伸张以及重复压缩和伸张过程。
21	按起落架结构和工作特点，其结构型式主要有 {{c1::C}}	构架式和摇臂式||构架式和支柱套筒式||构架式、摇臂式和支柱套筒式	3	按飞机起落架的结构及工作特点，其结构型式主要有构架式、支柱套筒式与摇臂式三种。
22	飞机在滑跑中出现前轮摆振现象，会使飞机 {{c1::C}}	产生跳跃||颠簸加剧||滑跑方向难以控制	3	飞机高速直线滑跑中，如果由于跑道不平或操纵上的原因，使前轮偶尔受到一个外力或外力矩，它会向一方偏转一个角度，前轮便可能围绕着飞机运动的轴线不停地摆动，形成S形运动轨迹的高频自激振动，这种现象称为前轮摆振。前轮摆振不仅加剧了前轮的磨损与构件的疲劳损坏，而且引起驾驶舱仪表板剧烈抖动，使滑跑方向难以控制；严重时还可使轮胎撕裂，折断支柱，造成事故。
23	减摆器主要通过（ ）来减弱和防止前轮出现摆振。 {{c1::B}}	双机轮增加偏侧阻尼||油液流过孔道耗散摆振能量||机械稳固前轮轴	2	为了防止前轮摆振，飞机上除采用双机轮产生减摆作用外，还安装减摆器减弱或制止摆振，其基本原理是在前轮左右偏转振动时，迫使油液来回流过孔道，靠油液与孔壁的摩擦阻尼耗散摆振能量，从而减弱、制止摆振。
24	大型航空器在靠近廊桥低速转弯时，用（）实现滑行转弯。 {{c1::A}}	转弯手轮||单侧刹车||方向舵脚蹬	1	前轮转弯系统可通过前轮转弯手轮（手柄）或方向舵脚蹬来操纵。小飞机可以通过单侧刹车实现滑行转弯，方向舵脚蹬主要在飞机起飞和着陆过程中高速滑跑时使用，控制偏转角度较小。大型机的前轮转弯手轮主要用于飞机低速滑行且转弯半径较小的情况或拖飞机时使用，此时前轮控制偏转角度较大。
25	VLO是什么速度？ {{c1::A}}	最大起落架收放速度||起落架放下速度||着陆速度	1	由于飞机的结构强度和操纵性的限制，起落架收放有操纵速度限制，包括最大起落架收放速度VLO和起落架放下最大速度VLE。
26	起落架的收放手柄控制起落架收放的原理是 {{c1::C}}	手柄通过钢索直接控制起落架的收放||手柄控制液压进行起落架收放||手柄控制选择活门，选择活门控制液压进行起落架收放	3	起落架的收放是由起落架控制手柄来控制的。起落架控制手柄通过钢索来控制选择活门，而选择活门则控制液压进行起落架的收起或放下操作。
27	现代民用飞机采用的起落架收放动力是 {{c1::B}}	人工||液压系统||气压系统	2	现代民用飞机都采用液压系统作为正常收放起落架的动力。应急开锁的方式主要有人工、电动及液压、气压作动。
28	飞机在进近过程中，当速度大于（）时，不能放起落架。 {{c1::A}}	VLO||VLE||VFE	1	"最大起落架收放速度 VLO：大于此速度不能收放起落架；
起落架放下时的最大速度 VLE：起落架放下时的允许最大飞行速度。"
29	液压系统的主要作用是 {{c1::A}}	作为助力机构帮助飞行员操纵||帮助飞行员进行自动操纵飞机||仅可用于刹车系统增大刹车压力	1	飞机液压系统以飞机上的油液为工作介质，靠液压油压力驱动执行机构完成特定操纵动作。液压系统在飞机上主要作为助力机构帮助驾驶员操纵。
