Index	Question	Options	Answer	Answer Explanation
1	下列仪表中，哪些采用了全静压系统？ {{c1::A}}	指示空速表，升降空速表，气压式高度表||指示空速表，气压式高度表，地平仪||升降空速表，气压式高度表，转弯侧滑仪	1	全静压系统用来收集并传送气流的全压和静压，指示空速表，升降空速表，气压式高度表采用的都是全静压系统。
2	飞行中当皮托管（全压管）和管上的排水孔都被堵塞后飞机下降，空速表会出现 {{c1::B}}	指示空速增加||指示空速减小||指示空速为0	2	空速管和排水孔都堵塞。空速表上的指示无明显变化。若静压孔在此情况下未堵塞，空速仍会随高度变化。当飞机高度超过空速管和排水孔堵塞时的高度时，由于静压降低，全压与静压之差增大，空速表指示空速增加。当飞行高度低于堵塞出现时的高度时，就会出现与上面相反的指示。
3	真空速与指示空速之间的关系是 {{c1::C}}	指示空速修正了空气动力误差得到真空速||指示空速修正了空气压缩性误差和空气密度误差得到真空速||指示空速修正了空气动力误差，空气压缩性误差和空气密度误差得到真空速	3	（1）IAS：指示空速，又称表速，按海平面标准大气条件下空速和动压的关系得到的空速。飞机飞行手册中的各种飞行速度限制常用指示空速表示。（2）CAS：修正表速，是指示空速修正了位置误差（空气动力误差）后得到的空速。（3）EAS：当量空速是修正表速修正了空气压缩性误差得到的空速。常用于表示飞机强度计算中所受载荷的速度。（4）TAS：真空速是当量空速修正了空气密度误差得到的空速，即飞机相对于空气运动的真实速度。真空速除了用于飞机空气动力、性能计算之外，也常用于领航计算。
4	垂直速度表是根据（ ）指示升降率的。 {{c1::C}}	动压和静压的差值||全压和静压的差值||膜盒内外的静压差	3	内装有一个开口膜盒，膜盒内部通过一个内径较大的导管与静压相连，膜盒外部，通过一个内径很小的玻璃毛细管与静压相连。当飞机爬升或下降时，外界气压不断变化，膜盒内的压力也随之变化，与外界保持平衡，膜盒外的空气由于毛细管的阻滞作用，气压变化很慢，产生压力差。受此压力差作用，膜盒变形，通过传动机构，使指针指示该变化。当表壳内外气压变化率相等时，膜盒变形量一定，指针指示一定的升降率。
5	飞机着陆前，气压高度拨正在QNH，着陆时高度表指针将指示 {{c1::C}}	零||机场标高||机场标高加座舱高出跑道的高度	3	修正海平面气压高度是以修正海平面气压为基准面测出来的高度，飞机着陆后指示的高度等于机场标高加上驾驶舱距离跑道的高度。
6	高度表气压窗调至什么值时，所指示的高度即为标准气压高度（HQNE）？ {{c1::B}}	机场标高||1013hpA||所在高度的实际气压值	2	标准气压高是以标准海平面气压（一个大气压力，即1013hPa）为基准面所测出的气压高度。
7	某机场修正海压为1000hpa，飞行员误调为1010hpa，则高度表的指示将比正常值 {{c1::B}}	少指83米||多指83米||多指100米	2	修正海压为1000hpa，飞行员误将表高调为1010hpa，则高度表指示的表高将大于实际高度，产生多指误差。高度每上升11米，气压下降1mmHg，10hpa≈7.5mmHg，可知高度表比实际高度多指7.5×11=82.5，约为83米。
8	某机场实测气温为15℃，高度表调到1013hpa，飞机飞行高度为900米，距离地面大厦493米，如果气温降到-5℃，高度表无调整，飞行高度仍然保持在900米，问飞机距离地面大厦的高度是 {{c1::B}}	大于493米||小于493米||等于493米	2	如果实际气温等于标准气温，不考虑机械误差，高度表指示的表高就等于实际高度，但如果气温偏低，空气密度增大，这时高度表指示的表高大于实际高度，即产生多指误差，所以飞机距离地面大厦的高度应小于493米。
9	直读磁罗盘测量航向的原理是 {{c1::A}}	自由磁针跟踪地球磁场的特性||自由磁针的稳定特性||自由磁针转动指示当前飞行航向	1	磁罗盘的功能是测量飞机的航向，其基本原理是利用自由旋转的磁条自动跟踪地球磁场的特性来测量飞机的航向。
10	直读磁罗盘产生转弯误差的原因是 {{c1::B}}	磁差||磁倾||地磁力	2	飞机转弯时，磁倾使罗盘产生转弯误差。磁倾越大，转弯误差就越大。飞机在0°（或180°）磁航向上，若向东或向西转弯时，该误差最明显，因此转弯误差也称为北转误差。离磁极越近，误差越大。在磁赤道上，转弯误差为零。
11	在北半球飞行，飞机改变速度时，磁罗盘的加速度误差会使仪表如何指示？ {{c1::A}}	加速时指示向北转弯||减速时指示向北转弯||恒速飞行时指示向北转弯	1	在北半球，飞机加速时，罗盘会给出向北转弯的指示；减速时，罗盘会给出向南转弯的指示；速度恒定时，罗盘恢复正确指示。
12	罗差的大小情况是 {{c1::C}}	0°到+180°||0°到±90°||不超过±5°	3	罗差一般较小，不超过±5°。
13	飞机在90度航向上，减速时 {{c1::A}}	磁罗盘会给出向南转弯的指示||磁罗盘会给出向北转弯的指示||对磁罗盘指示无影响	1	飞机速度改变时，磁倾使罗盘产生加速度误差。磁倾越大，加速度误差就越大。在北半球，飞机加速时，罗盘会给出向北转弯的指示；减速时，罗盘会给出向南转弯的指示；速度恒定时，罗盘恢复正确指示。飞机在东、西磁航向上该误差最大，越接近南北磁航向，该误差越小，在南、北磁航向上为零。为了避免飞行误差，应在匀速平飞时判读航向。
14	在北半球，飞机加速时，罗盘会给出（）的指示？ {{c1::A}}	向北转弯||向南转弯||正常指示	1	飞机速度改变时，磁倾使罗盘产生加速度误差。磁倾越大，加速度误差就越大。在北半球，飞机加速时，罗盘会给出向北转弯的指示；减速时，罗盘会给出向南转弯的指示；速度恒定时，罗盘恢复正确指示。飞机在东、西磁航向上该误差最大，越接近南北磁航向，该误差越小，在南、北磁航向上为零。为了避免飞行误差，应在匀速平飞时判读航向。
15	单自由度陀螺具有（ ）特性。 {{c1::C}}	稳定性||稳定性和进动性||进动性	3	自转轴只具有一个转动自由度的陀螺称为单自由度陀螺。单自由度陀螺只具有内框，它为自转轴提供了一个转动自由度；单自由度陀螺只有进动性。
16	在装有陀螺半罗盘的飞机飞行前，应如何对陀螺半罗盘进行校正？ {{c1::B}}	使罗盘指示0航向||使罗盘指示真航向（或磁航向）||检查罗盘指针能够灵活转动	2	起飞前应调整半罗盘指示真航向（或磁航向）。在飞行过程中，每隔一段时间（直读半罗盘一般每隔15min，其他依飞行手册而定）应根据其他罗盘进行一次校正，以消除这段时间积累起来的自走误差。根据其它罗盘的指示，校正陀螺半罗盘的航向。
17	刻度盘被陀螺稳定不动，指针随飞机转动，指示飞机的（）。 {{c1::B}}	航向角||转弯角度||自走误差	2	两自由度陀螺的自转轴与地平面平行，外框轴与飞机立轴平行，刻度盘经传动齿轮与陀螺外框相连，飞机形指针固定在表壳上。飞机转弯时，由于陀螺的稳定性，自转轴方位不变。刻度盘被陀螺稳定不动，指针随飞机转动，指示飞机的转弯角度。推入并转动调整旋钮可以转动刻度盘，当自转轴校正并稳定在经线方向上时，指针指示的角度便是航向角。
18	对感应式陀螺磁罗盘的快速协调按钮，下列说法不正确的是 {{c1::B}}	地面启动时按压||机动飞行时按压||机动飞行改平后按压	2	感应式陀螺磁罗盘的快速协调按钮，在地面启动时或机动飞行改平后按压。
19	感应式陀螺磁罗盘，由于其地磁感应灵敏度高，因此 {{c1::A}}	在低纬和高纬地区均能工作||只能在低纬地区工作||只能在高纬地区工作	1	感应式陀螺磁罗盘的地磁感应灵敏度高，在低纬和高纬地区均能工作。
20	大多数轻型飞机上，转弯仪一般采用电动，并装有一个（）警告装置来指示动力源失效情况。 {{c1::A}}	红色||琥珀色||黄色	1	陀螺可以靠电来驱动，也可以靠气源来驱动。大多数轻型飞机上，转弯仪一般采用电动，并装有一个红色警告装置来指示动力源失效情况。地平仪和陀螺半罗盘采用气动，气源由真空系统提供。
21	当罗盘系统的功能开关置于（）位，罗盘系统的工作就像陀螺磁罗盘一样。 {{c1::C}}	DG||FREE||SLAVE	3	当控制组件上的功能开关置于“SLAVE（伺服）”位时，方位陀螺接收磁传感器送来的校正信号，经校正后，罗盘系统的工作就像陀螺磁罗盘一样。置于“FREE（自由）”位时，断开了磁传感器的校正信号，指示器的航向指示仅受方位陀螺控制，此时罗盘系统相当于一个陀螺半罗盘。在该位可利用控制组件上的人工航向同步开关（“CW-CCW”）人工校正航向。
22	姿态仪在地面启动时应检查的内容有 {{c1::C}}	陀螺转子达到额定转速||自转轴处于地垂线方向||两者都有	3	地面启动时应检查陀螺转子达到额定转速，由时间保证或收警告旗判断。发动机启动时，气动陀螺不应出现异常声音，五分钟左右陀螺应达到正常转速。还要检查自转轴处于地垂线方向，由指示停机角反映。
23	转弯仪是利用（ ）工作的。 {{c1::A}}	单自由度陀螺进动性||两自由度陀螺进动性||两自由度陀螺稳定性	1	转弯仪是利用单自由度陀螺进动性工作的，用于指示飞机转弯或盘旋的方向，并能反映飞机无侧滑转弯的快慢程度。
24	电子飞行仪表系统与传统仪表系统相比有什么优点 ①可以修正误差；②延迟误差小；③显示更准确 {{c1::C}}	①②||②③||①②③	3	电子仪表系统显示的数据源自于姿态航向基准系统和大气数据计算机，因此与传统仪表不同的特性和优点是可以修正误差、延迟误差小、显示更准确。
25	失速警告系统通过比较（）来产生警告 {{c1::B}}	襟翼与缝翼的位置||飞机特定的最大迎角与实际迎角||飞机的最大允许速度和实际速度	2	现代飞机一般都设置有失速警告系统，在飞机接近失速时给飞行员提供明显的警告信号，以便及时改出。较简单的失速警告系统通过在机身外侧安装迎角探测器，感受安装部位处的气流方向，并将该处气流角度的变化情况以成比例的电信号传输给失速管理计算机。迎角探测器的型式有几种，目前多用叶片式迎角探测器。
26	下列关于飞行指引仪说法正确的是 {{c1::A}}	直接显示操纵指令的指引信号||在巡航中指引飞机，在起飞、降落等关键阶段和复飞时禁止使用||给飞行员提供操纵指引目视信号，接通自动驾驶后不发挥作用	1	"飞行指引仪的功能就是将飞机的实际飞行路线与目标路线进行比较，并计算出进入目标路线所需要的操纵量，以目视的形式在指示器上给出。
（1）引导飞机按预定高度、预定航向飞行；（2）与飞行管理计算机耦合，引导飞机按预定轨迹飞行；（3）与仪表着陆系统（ILS）耦合，引导飞机实现自动着陆。指引信号直接显示出操纵要的指令是向上、向下，还是向左、向右，驾驶员或自动驾驶仪跟随指引杆操纵飞机，保证飞机正确切入或保持在预定的航线上。"
27	参考图CPL2-5飞行指引仪如图（1）所示，飞行员误操纵向右压盘，八字指引针将如何变化？ {{c1::B}}	八字符号向右上偏斜||八字符号向左上偏斜||八字符号向左平移	2	八字指引针（V形指引针）：利用八字指引针与飞机符号的上下关系来进行俯仰指引，利用八字指引针与飞机符号的左右关系来进行横滚指引。当八字指引针包围飞机符号时表示达到预定状态。若八字指引针在飞机符号之上，驾驶员应操纵飞机抬头，反之则应操纵飞机低头以达到预定的俯仰角。若八字指引针相对飞机符号右倾斜，应向右压坡度，反之应向左压坡度，以达到预定的坡度角。当飞行员误操作向右压盘时，八字指引针相对飞机符号左倾斜，同时由于压盘引起的升力损失，会引起飞机掉高度，八字指引针将在飞机符号之上，指引驾驶员应操纵飞机抬头。
28	参考图CPL2-5飞行指引仪如图（2）所示，飞行员应该如何修正？ {{c1::C}}	向右向上||向右向下||向左向上	3	八字指引针（V形指引针）：利用八字指引针与飞机符号的上下关系来进行俯仰指引，利用八字指引针与飞机符号的左右关系来进行横滚指引。当八字指引针包围飞机符号时表示达到预定状态。若八字指引针在飞机符号之上，驾驶员应操纵飞机抬头，反之则应操纵飞机低头以达到预定的俯仰角。若八字指引针相对飞机符号右倾斜，应向右压坡度，反之应向左压坡度，以达到预定的坡度角。
29	飞行中，接通自动驾驶仪可实现 {{c1::C}}	把飞机稳定在当前姿态||实现对飞机的自动操纵||稳定飞机和操纵飞机	3	自动驾驶仪的功能（1）自动保持三轴稳定（姿态角的稳定）；（2）根据输入指令，与飞行指引仪结合，操纵飞机以达到期望的姿态。即稳定飞机和操纵飞机。
30	自动驾驶仪由（ ）组成。 {{c1::B}}	自动驾驶仪控制板、计算机、显示板||测量装置、自动驾驶计算机、舵机||自动驾驶计算机、传动装置、舵面	2	自动驾驶仪由测量装置（敏感元件，如垂直陀螺仪和航向陀螺仪）、信号处理元件（自动驾驶计算机）、放大器和执行机构（舵机）组成。
31	自动驾驶仪是如何实现对飞机的操纵？ {{c1::A}}	通过测量飞机偏离预定状态的大小和方向从而操纵舵面偏转||根据飞行员预先输入的信息来控制飞机||根据飞行管理计算机提供的信息控制飞机	1	自动驾驶仪利用“反馈”控制原理来实现对飞机运动参数的控制。当飞机偏离原来状态，测量装置（敏感元件）感受到偏离方向和大小，并输入相应信号，经放大、计算处理，操纵执行机构（舵机），使舵面相应偏转。当飞机回到原来状态时，测量装置（敏感元件）输出信号为零，舵机以及与其连接的舵面也回到原位，飞机重新按原来状态飞行。
32	下列不属于自动驾驶仪的横滚模式的是 {{c1::C}}	航向选择模式、航向保持模式||VOR/LOC截获模式||水平导航模式、地图模式	3	自动驾驶仪的模式有两大类：横滚模式和俯仰模式。横滚模式包括：航向保持、航向预选、VOR、LOC、水平导航等。俯仰模式包括：高度保持、速度保持、马赫保持、垂直速度、垂直导航等。
33	下列不属于自动驾驶仪的俯仰模式的是 {{c1::C}}	高度截获模式、高度保持模式||垂直速度模式、高度层改变模式||下滑道模式、VOR/LOC截获模式	3	自动驾驶仪的模式有两大类：横滚模式和俯仰模式。横滚模式包括：航向保持、航向预选、VOR、LOC、水平导航等。俯仰模式包括：高度保持、速度保持、马赫保持、垂直速度、垂直导航等。俯仰模式包括：高度保持模式、高度截获模式、垂直速度模式、下滑道模式、垂直导航模式、高度层改变模式。
34	飞行前对自动驾驶仪的（ ）进行测试。 {{c1::A}}	所有的工作方式和功能||该次飞行所需的工作模式||接通或断开是否正常	1	自动驾驶仪的所有工作方式和功能都需要在飞行前进行测试。具体步骤参照飞机手册要求进行。
35	自动驾驶仪在（ ）阶段不能接通使用。 {{c1::C}}	着陆||复飞||起飞	3	自动驾驶仪的使用范围是除起飞以外的所有飞行阶段。在飞机手册中规定了自动驾驶仪的接通高度限制。
36	下列符合自动驾驶仪的接通或断开条件的是 {{c1::C}}	只要在可以使用自动驾驶的飞行阶段，按下接通电门即可接通||自动驾驶仪接通以后，只能人工断开||当两侧燃油不平衡超限时会自动断开	3	当到达自动驾驶仪的接通高度并满足其它接通条件（有的飞机要求处于配平状态）后，按下自动驾驶仪的接通电门即可接通自动驾驶仪。自动驾驶仪可以人工断开和自动断开，并有声音和灯光警告系统提醒。通常在下列情况下自动脱开：失速警告触发；电源故障；飞行操纵系统故障；在CWS按下状态，滚转率和俯仰率超过AP工作限制；两侧燃油不平衡超限。
37	偏航阻尼器如何实现预防飘摆的目的？ {{c1::B}}	根据飞机状态，操纵副翼偏转以克服飞机的横侧稳定力矩减小飘摆||根据空速和偏航角速度信号，适时提供使方向舵相对飘摆振荡反向偏转，从而增大偏航运动阻尼减小飘摆||根据飞机状态，操纵方向舵配合垂尾增强飞机的方向稳定力矩	2	偏航阻尼器根据空速和偏航角速度信号，经处理，适时提供指令使方向舵偏转，从而增大偏航运动阻尼，预防飘摆。
38	按照仪表飞行规则运行的航空器，不是必须要安装的设备是 {{c1::C}}	时钟||温度表||客舱灯光	3	航空器按仪表飞行规则飞行时，应当至少安装下列仪表和设备： (1) 一个磁罗盘； (2) 一个指示时、分、秒的准确的计时表；(3) 两个带转鼓计数器或者同等指示方法的灵敏气压高度表（对于固定翼飞机实施的航空作业运行，可仅安装一个）； (4) 一个可以防止因凝结或结冰而发生故障的空速指示系统；(5) 一个转弯侧滑仪； (6) 一个姿态指示器（人工地平仪），但对于旋翼机应当安装三个姿态指示器（其中一个可用转弯仪代替）； (7) 一个航向指示器（方向陀螺）； (8) 一个指示陀螺仪表的供电是否充足的设备； (9) 一个在驾驶舱内指示大气温度的设备； (10) 一个爬升和下降速度指示器。
39	航空器按仪表飞行规则飞行时，应当至少安装仪表和设备的是？ {{c1::B}}	VOR||航向指示器||无线电高度表	2	"按仪表飞行规则运行的仪表和设备包括：
1、航空器按仪表飞行规则飞行时，应当至少安装下列仪表和设备：
(1) 一个磁罗盘；
(2) 一个指示时、分、秒的准确的计时表；
(3) 两个带转鼓计数器或者同等指示方法的灵敏气压高度表（对于固定翼飞机实施的航空作业运行，可仅安装一个）；
(4) 一个可以防止因凝结或结冰而发生故障的空速指示系统；
(5) 一个转弯侧滑仪；
(6) 一个姿态指示器（人工地平仪），但对于旋翼机应当安装三个姿态指示器（其中一个可用转弯仪代替）；
(7) 一个航向指示器（方向陀螺）；
(8) 一个指示陀螺仪表的供电是否充足的设备；
(9) 一个在驾驶舱内指示大气温度的设备；
(10) 一个爬升和下降速度指示器。
2、对于涡轮动力固定翼飞机，还应当装有防撞灯光系统，但该系统失效后，可继续飞行到能够进行修理或更换的地点。"
40	在( )条件下，在沿航路上预计存在可探测到的雷雨或其他潜在危险天气情况的区域中运行时，所有载客的航空器应当安装气象雷达或其他重要天气探测设备。 {{c1::C}}	任何时候||白天或仪表气象||夜间或仪表气象	3	根据CCAR91.431条，在夜间或仪表气象条件下，在沿航路上预计存在可探测到的雷雨或其他潜在危险天气情况的区域中运行时，所有载客的航空器应当安装气象雷达或其他重要天气探测设备。
41	机载气象雷达的主要工作模式有 {{c1::C}}	气象模式、地图模式和识别模式||气象模式、高度模式和湍流模式||气象模式、测试模式和气象与湍流模式	3	气象雷达的主要工作模式有：气象模式（WX）、地图模式（MAP）、测试模式（TEST）、湍流探测模式（TURB）和气象与湍流模式（WX/T）等。
42	机载气象雷达在地面使用时应注意 {{c1::B}}	地面检查时，一定要使雷达在自检模式和发射模式分别运行，确保正常||飞机前方有人时，不得接通雷达以防有害辐射伤害人体||当雷达工作于发射模式时应将机头朝向近距离的建筑物或者大型金属反射面，缩小雷达辐射范围	2	1、飞机正在加油或飞机周围有其它飞机正在加油时，不得使气象雷达工作于发射工作模式，以免引燃汽油蒸气。在机坪上大量使用汽油清洗机件时，也应避免接通雷达电源。2、在机库内或在机头朝着近距离内的建筑物、大型金属反射面的情况下不能使气象雷达工作于发射模式，除非雷达发射机没有工作或者将雷达能量引导至吸收罩将射频能量消耗掉，否则整个围场区域都可能充满辐射。3、飞机前方有人时，不得接通雷达，以防有害辐射，伤害人体。4、在地面检查气象雷达时，应尽量使雷达工作于自检模式。在需要使雷达工作于发射模式时，应将天线俯仰旋钮调至上仰位置，以尽量避免天线波束照射近处地面目标。
43	一次监视雷达和二次监视雷达的区别是 {{c1::A}}	一次监视雷达接收的是发射信号，二次监视雷达接收的是应答信号||一次监视雷达可获得飞机的位置、航向和高度等信息；二次雷达还可以获得飞机代码及其他特殊代码||适用于二次监视雷达的航空器上安装的应答机更先进	1	一次雷达由发射系统发射一束无线电信号，然后再接收其中由目标反射回来的一小部分信号的雷达称为一次雷达。二次雷达由雷达发射询问信号，然后由目标飞机在约定的精确时间间隔内发射一串应答信号。靠收发这些信号来提供飞机信息的雷达叫做二次雷达。二次雷达可以获得的信息主要有：1) 飞机的距离与方位信息；2) 飞机代码；3) 飞机的气压高度；4) 一些紧急告警信息。如无线电通讯失效或飞机被劫持等。
44	哪一类航空器应该安装符合要求的ATC应答机？ {{c1::A}}	所有在管制空域运行的航空器||大型民航运输机||训练用飞机	1	根据CCAR91.427条，所有在管制空域运行的航空器应当安装符合下述要求的ATC应答机：(1) 能按照规定对空中交通管制的询问进行编码回答；(2) 能以30米（100英尺）的增量间隔向空中交通管制自动发送气压高度信息的询问。
