Index	Question	Options	Answer	Answer Explanation
1	空虚视野近视产生的主要原因是 {{c1::A}}	高空飞行时，没有参照物可供观察||高空飞行时，人的视力会受到影响||高空飞行时，由于缺氧所引起	1	空虚视野近视产生的主要原因是在霾中或高空飞行时，由于外景没有特征，引不起眼睛的注意，使睫状肌处于持续的放松状态，此时晶状体因其本身的弹性向前凸出，使眼的聚焦点位于前方1~2m处的空间某点，飞行员的视觉便呈功能性近视状态。
2	夜间寻找其他航空器的最好办法是 {{c1::B}}	在视野范围内快速扫视||注意旁侧物体，并且慢慢扫视||注意旁侧物体，并且快速扫视	2	昼间扫视的速度和范围相对较大、较快；夜间扫视时则应较慢、且范围较小。
3	缺乏目视参照物时，飞行员往往会把同样大小的物体看成（ ）的物体？ {{c1::A}}	较小||较大||同样大小	1	"在目标物不明确或无特征的空域中，不能引起眼睛的注意，使眼的聚焦点位于前方1-2米处的空间某点，此时飞行员的视觉呈现出功能性近视状态。飞行员往往会把同样大小的物体看成较小的物体，把同样距离的物体看成较远的物体。
预防措施：频繁地在机翼尖或机头的无限远之间来回扫视可以克服。"
4	预防夜间近视的措施是 {{c1::C}}	频繁地在机翼尖或机头的无限远之间来回扫视可以克服||夜航中，驾驶舱的灯光亮度应适宜，不应过亮||搜索和观察远处的光源，无论光源明暗与否都应该这样做	3	"在夜间飞行时，由于外界没有物体可供观察，飞行员的眼睛会自动聚焦于他前面的前方1-2米处的空间某点。
预防措施：搜索和观察远处的光源，无论光源明暗与否都应该这样做。"
5	以下哪一种情景容易引起飞行员产生飞机比实际位置偏高的错觉？ {{c1::B}}	常规跑道||向上带斜坡的地形||向下带斜坡的地形	2	当机场跑道或机场附近地形向上带坡度时，可使飞行员产生进场偏高的错觉。
6	夜间飞向跑道灯光很亮的机场时，飞行员感觉距离跑道（） {{c1::A}}	更近||更远||没有变化	1	明亮的跑道和进近灯，错觉是距离着陆点过近，导致进场偏高。
7	以下关于半规管在飞行中的功能缺陷的描述哪一项是正确的？ {{c1::A}}	不能感知匀速运动，也不能感知构成合力的分力||不能感知俯仰加速度、只能感知偏转和滚转运动||只能感知重力加速度，不能感知飞机加速度	1	前庭内三个半规管专门感知角加速度。人耳前庭器官的两个主要局限是：既不能感知匀速运动，也不能感知组成合力的各个分力。
8	以下哪一种方法有助于预防科里奥利错觉？ {{c1::A}}	尽可能在飞机转动期间不过快地动头||不断地对自己进行心理暗示，坚定信心||在平时加强平衡器官的锻炼	1	在飞机转动期间尽可能地减少动头或缓慢动头，有助于预防科里奥利错觉。
9	爬升改平时，如果飞行员的动作过猛，可能会出现向后翻转的感觉，这种现象可被定义为 {{c1::A}}	倒翻错觉||躯体重力错觉||科里奥利错觉	1	从爬升改到平直飞行 ，如果操作粗猛容易出现倒翻错觉。
10	飞机以很小的坡度由平飞进入转弯时，飞行员可能会感觉到？ {{c1::A}}	爬坡||下滑||做匀速运行	1	躯体重力错觉常发生于飞行员操纵飞机直线加速飞行时， 飞行员感到飞机不是在加速而是在上升； 或飞机以缓慢速度由平飞进入转弯时， 飞行员感到飞机不是在转弯而是在上升； 当飞机由转弯改为平飞时，飞行员又感到飞机在下滑。
