Index	Question	Options	Answer	Answer Explanation
1	罗差是罗经线偏离什么的角度？ {{c1::B}}	真北||磁北||罗北	2	罗差是罗经线偏离磁经线的角度。
2	已知真航向315°，磁差10°W，则磁航向为 {{c1::B}}	305°||325°||315°	2	真航向=磁航向＋磁差，磁差10°W表示磁差-10°，可知磁航向为325°。
3	我国统一使用的北京时是指 {{c1::C}}	北京的地方时||8时区的时区时||东8区的时区时	3	我国统一使用北京所在的东八区的区时作为标准时间，称为北京时。
4	北京时间为22:15时，世界协调时（UTC）为 {{c1::B}}	前一天14:15||当天14:15||第二天06:15	2	我国统一使用北京所在的东八区的区时作为标准时间，即北京时，北京时=UTC+8。
5	没有角度失真的航图叫做 {{c1::B}}	等距投影图||等角投影图||等积投影图	2	等角投影图是指投影时保持任何一点沿经线、纬线方向的局部比例尺相等，即没有角度失真。
6	在1:100万航图上，图上2厘米表示实际飞行距离 {{c1::B}}	200千米||20千米||2千米	2	地图比例尺=图上长度/实地长度。1/1000000=2/实地距离，得出实地距离为2000000厘米，即20千米。
7	辨认地标的四个要素 {{c1::B}}	航迹、时刻、地标特征、地标形状||航迹、时刻、地标特征、地标相关位置||航迹、时刻、地标形状、地标位置	2	观察辨认地标时，必须以推算位置为基础，依据四个要素即航迹、时间、地标特征和地标相关位置进行比较，准确地辨认出地标。
8	飞机从600米上升到2100米，上升率为2米/秒，上升时间为 {{c1::C}}	12分50秒||12分05秒||12分30秒	3	上升时间为（2100-600）÷2=750秒，即12分30秒。
9	若耗油率为80磅/小时，地速180节，飞行460海里所需油量为 {{c1::A}}	205磅||212磅||460磅	1	飞行460海里所需油量为460÷180*80≈204.4，所以答案选最接近项205磅。
10	若耗油率为13加仑/小时，地速为150节，飞行810公里所需油量为 {{c1::C}}	27加仑||34加仑||38加仑	3	1公里大约相当于0.54海里，所以810公里大约为437海里。飞行810公里所需油量为437÷150*13≈38加仑。
