Index	Question	Options	Answer	Answer Explanation
1	飞机在高原机场起飞，起飞滑跑距离将 {{c1::A}}	增长||减少||不变	1	飞机在高原机场起飞，由于海拔高度增加，空气密度减小，起飞滑跑距离增长。
2	机场海拔高度增加或温度升高时 {{c1::A}}	空气密度减小，飞机的着陆滑跑距离和时间延长||空气密度增大，缩短着陆滑跑距离和时间||飞机接地速度减小	1	机场海拔高度增加或温度升高时，空气密度减小，使飞机接地速度增大，还会延长飞机的着陆滑跑距离和时间。
3	正常的航路爬升中，飞机的飞行地速越大，爬升梯度 {{c1::B}}	越大||越小||与飞行速度无关	2	正常的航路爬升中，飞行地速越大，上升同样高度前进的水平距离越远。上升梯度=上升高度/水平距离，所以上升梯度会减小。
4	以恒定的功率和表速上升，逆风增加时，上升角（ ），上升率（ ） {{c1::B}}	减小，减小||增大，不变||增大，增大	2	逆风上升，上升角和上升梯度增大，上升率不变。
5	高度增加，最佳爬升角速度（Vx）（  ），最佳爬升率速度（Vy）（  ）。 {{c1::A}}	增大，减小||减小，增大||增大，增大	1	高度增加对上升性能影响最大。这是因为高度增高，所需功率增加，而可用功率和可用拉力减小。因此，上升角（率）随高度增加而减小。同时，获得最大上升角所需的空速随高度的增加而增加，最大上升率所对应的空速减小，这两个空速相等时对应的高度称为飞机的理论升限。
6	最佳爬升率速度（Vy）一般在（  ）使用 {{c1::A}}	起飞越障后||起飞越障中||巡航上升中	1	最佳爬升率速度也叫快升速度，一般在起飞越障后使用。
7	飞机从1500米某机场起飞，以1000FT/MIN上升至9600米，上升时间为 {{c1::B}}	14分钟||27分钟||33分钟	2	1ft=0.3048m，1000ft=304.8m。上升时间=（9600-1500）÷304.8≈27分钟。
8	喷气式飞机的实用升限定为最大上升率是（ ）所对应的高度。 {{c1::C}}	100ft／min||350ft／min||500ft／min	3	当飞行高度接近理论升限时，上升率虽未减小到零，但上升缓慢，通常把最大上升率为500ft／min 和 100ft／min 的高度，分别定为喷气式飞机和活塞式飞机的实用升限（HS）。
9	图PPL8-4中，B点对应的速度是 {{c1::B}}	最大航时速度||最大航程速度||最大平飞速度	2	最大航程速度是为使总阻力降至最小的速度，最大航程速度高于最大航时速度。
10	下降时，在其他条件不变的情况下，逆风会使下降梯度（ ），下降率（ ） {{c1::A}}	增大，不变||减小，减小||增大，增大	1	逆风下降，下降角增大，下降距离缩短，下降率不变。顺风下降，下降角减小，下降距离增长，下降率不变。
11	飞机在下面条件下起飞：温度38℃（100℉），气压高度4000ft，重量3200lbs，静风。根据图PPL8A-1，飞机起飞滑跑距离为 {{c1::B}}	1180ft||1350ft||1850ft	2	从图中100°F向上引直线到与4000ft的高度线相交，从交点向右引直线，与第一条参考线相交，再沿倾斜方向按比例偏折，直到与3200lbs的重量线相交，从交点水平向右引线直到与第二条参考线相交于静风位置，从交点直接引到最右边，得到的数值为起飞距离，约为1850ft。根据图中提示可知，起飞滑跑距离作为总起飞距离的73%，所以飞机起飞滑跑距离为1850×73%≈1350ft。
12	飞机在下面条件下爬升，温度30℃，气压高度5000ft，重量4000lbs，根据图PPL8A-3，飞机的爬升率是 {{c1::B}}	655ft/min||702ft/min||774ft/min	2	根据题干给出的条件可知，应参看图中重量为4000磅部分，温度在20℃时，气压高度6000ft上的爬升率为（800+695）÷2=747.5ft/min，可知高度为5000ft上的爬升率为（800+747.5）÷2=773.75ft/min。同理，温度在40℃时，气压高度6000ft上的爬升率为605ft/min，可知高度5000ft上的爬升率为630ft/min。已知温度20℃和40℃时的爬升率，可知温度为30℃时的爬升率=（773.75+630）÷2≈702ft/min。
13	（图PPL8-1）在高于标准温度36℉，高度6500ft情况下，设定转速2450，要达到65%最大持续功率，进气压力为 {{c1::B}}	20.8英寸汞柱||21.0英寸汞柱||19.8英寸汞柱	2	看图ISA+20℃（+36°F）部分，已知8000ft进气压力为20.8，6000ft进气压力为21.0，可知7000ft进气压力为（20.8+21.0）÷2=20.9，所以高度6500ft的进气压力为（21+20.9）÷2≈21.0。
14	飞机在下面条件下着陆：温度29℃（85℉），气压高度6000ft，重量2800lbs，逆风14Kt。根据图PPL8A-2，飞机50ft越障高度的着陆距离为 {{c1::B}}	740ft||1380ft||1480ft	2	从图中85°F向上引直线直到与6000ft的高度线相交，从交点水平向右引直线，与第一条参考线相交，再沿倾斜方向按比例偏折，直到与2800lbs的重量线相交，从交点水平向右引线直到与第二条参考线相交，再沿倾斜方向按比例偏折，直到与逆风14kt位置相交，从交点直接引到最右边，得到的数值即为着陆距离约为1380ft。
15	飞机平飞的失速速度为55Kts，载荷因数为4时的失速速度为 {{c1::C}}	45Kts||55Kts||110Kts	3	不同飞行状态下的失速速度是平飞失速速度的根号下ny（载荷因数）倍。所以载荷因数为4时，飞机的失速速度为55×2=110Kts。
16	飞机着陆性能包括 {{c1::C}}	拉平高度、滑跑距离、着陆距离||着陆距离、滑跑距离、进近高度||接地速度、滑跑距离、着陆距离	3	飞机着陆性能包括进场速度、着陆滑跑距离与着陆距离。
17	气温升高，飞机起飞着陆时的滑跑距离要 {{c1::C}}	保持不变||缩短||增长	3	气温升高，使空气密度减小，离地真速增大（离地表速不变），滑跑距离增长。
18	一架飞机在高原机场起飞，其离地速度将 {{c1::A}}	增大||减小||不变	1	高原机场空气密度变小，飞机的离地速度将增大。
19	机场的温度升高，飞机的起飞滑跑距离 {{c1::A}}	增加||减少||不变	1	机场压力高度或气温升高，都会引起空气密度减小，一方面使拉力减小，飞机加速慢；另一方面，离地真速增大，起飞滑跑距离必然增长。
